jaccard_rank,species,pollinator_species,n_bins,overlap_mean,overlap_weighted_mean,overlap_std,overlap_min,overlap_max,total_obs_plant,total_obs_pollinator
1,Malosma laurina,Paranoplium gracile,4.0,0.2457391391821379,0.2995289536878216,0.06307243011256415,0.18358974358974361,0.33370786516853934,1446.0,125.0
2,Larrea tridentata,Asphondylia auripila,23.0,0.34264294587084365,0.5546327155275435,0.1664382359660583,0.03361344537815126,0.6645302299884582,2268.0,4538.0
3,Lysimachia borealis,Ctenucha virginica,54.0,0.17426848125319616,0.19246551824280403,0.09047969426552666,0.0,0.3806060606060606,4922.0,6888.0
4,Malosma laurina,Pogonortalis doclea,3.0,0.40741913229940896,0.45953804246422936,0.1044050681133512,0.2868892114175133,0.46987996999249815,1371.0,713.0
5,Caltha palustris,Ctenucha virginica,56.0,0.17389278384255888,0.19653770116202726,0.08913266391705857,0.0,0.3802658678150159,3153.0,7589.0
6,Sanguinaria canadensis,Polygonia comma,113.0,0.19544320924485042,0.2435962526256432,0.09155279594328816,0.0,0.4148242116708952,9279.0,19587.0
7,Caltha palustris,Lon hobomok,65.0,0.11058085749531879,0.08708285401221717,0.1243122457161458,0.0,0.5714285714285714,3272.0,7074.0
8,Aquilegia canadensis,Lethe anthedon,107.0,0.12617980297222453,0.12688500819710735,0.10693024882267925,0.0,0.5696138211382114,6127.0,12278.0
9,Aquilegia canadensis,Pelecinus polyturator,95.0,0.011369728132420565,0.01572259319298816,0.023046802784662535,0.0,0.1538568065364908,5784.0,3359.0
10,Aquilegia canadensis,Lucidota atra,108.0,0.19255538057048682,0.18424439674165205,0.15251010223990674,0.0,0.7290322580645161,6145.0,6708.0
11,Passiflora incarnata,Calycopis cecrops,87.0,0.3679224705351326,0.4496178025624017,0.13281303063760289,0.0,0.6183587701835878,4241.0,17091.0
12,Sanguinaria canadensis,Lethe anthedon,106.0,0.0019417177999135503,0.0033549601190527695,0.007755638083494693,0.0,0.05555555555555555,9130.0,12260.0
13,Lysimachia borealis,Polydrusus formosus,54.0,0.2332033024233,0.2412888854383835,0.13286159671349565,0.0,0.625,5023.0,3596.0
14,Aquilegia canadensis,Typocerus velutinus,95.0,0.0452482310086538,0.04081442125185045,0.056784018114871916,0.0,0.2991658943466172,6000.0,5733.0
15,Aquilegia canadensis,Tetraopes tetrophthalmus,107.0,0.11206424700865572,0.11988684572896853,0.08869564828861111,0.0,0.38590949162503674,6121.0,24198.0
16,Sanguinaria canadensis,Typocerus velutinus,97.0,0.00019975036602904911,0.00042466040977312775,0.0016671356672833,0.0,0.016129032258064516,9070.0,5753.0
17,Sanguinaria canadensis,Popillia japonica,113.0,0.0014911411313602338,0.0022366118619054545,0.0036282285320938584,0.0,0.02127659574468085,9229.0,32048.0
18,Erythronium americanum,Cucullia convexipennis,70.0,0.00010427528675703858,0.0002021486206401048,0.0008724296418499224,0.0,0.0072992700729927005,5476.0,3901.0
19,Lysimachia borealis,Lymantria dispar,52.0,0.18909799530594312,0.20803461511109608,0.08694146267622861,0.0,0.3888888888888889,5111.0,17424.0
20,Trillium ovatum,Bombus sitkensis,25.0,0.14503786689041254,0.2275868324757151,0.1279556447803374,0.0,0.42936450743320786,7273.0,1196.0
21,Passiflora incarnata,Odontotaenius disjunctus,88.0,0.27239801679604164,0.34976800482597264,0.10990933589496252,0.03105590062111801,0.48966165413533835,4268.0,17146.0
22,Lysimachia borealis,Lon hobomok,56.0,0.387520159701707,0.3615750864286312,0.15148477945439978,0.07894736842105263,0.7162162162162162,5243.0,6327.0
23,Lysimachia borealis,Bombus ternarius,46.0,0.1173128066073337,0.14850048624850634,0.05788584996540171,0.0,0.21323877068557917,4542.0,11778.0
24,Malosma laurina,Iridopsis fragilaria,4.0,0.41338497534607327,0.4354823764105305,0.09627563960583746,0.2785964912280702,0.5,1446.0,133.0
25,Caltha palustris,Polydrusus formosus,54.0,0.08433540333653582,0.08501294067585083,0.07414136481423579,0.0,0.3804347826086957,3105.0,3710.0
26,Passiflora incarnata,Hermeuptychia hermes,76.0,0.3270600683147823,0.412420260408526,0.14273605570279158,0.0,0.6242216960449004,3935.0,10137.0
27,Impatiens capensis,Typocerus velutinus,95.0,0.24061039876823717,0.26859511359474375,0.1312799459714952,0.0,0.5658914728682171,5537.0,5734.0
28,Cypripedium acaule,Bombus perplexus,68.0,0.09852298690119367,0.1344913237895475,0.07055758862424477,0.0,0.27400103788271923,8704.0,6499.0
29,Sanguinaria canadensis,Lucidota atra,106.0,0.0017295533903940595,0.0025518806619246022,0.0051756206579509105,0.0,0.03225806451612903,9221.0,6713.0
30,Malosma laurina,Camponotus clarithorax,3.0,0.15729146682141415,0.2062155118539498,0.08022229327723301,0.10062893081761005,0.24908637873754153,1371.0,82.0
31,Malosma laurina,Trirhabda geminata,3.0,0.15482947568506644,0.16660076279138195,0.05442334134828128,0.09200359389038634,0.1875,1371.0,171.0
32,Sanguinaria canadensis,Tipula abdominalis,89.0,0.0005121423120229393,0.0006248959177253868,0.0026841179705966874,0.0,0.019230769230769232,8810.0,3202.0
33,Passiflora incarnata,Dynastes tityus,81.0,0.4175501229878009,0.5236330186179218,0.17682622028976025,0.0,0.7104385680544621,4161.0,5740.0
34,Aquilegia canadensis,Polygonia comma,110.0,0.1817569100985733,0.21710312407440252,0.10713111221183204,0.0,0.4443166129774505,6154.0,19491.0
35,Sanguinaria canadensis,Pelecinus polyturator,93.0,0.0007491900256488229,0.0006450972626177135,0.004927243707494616,0.0,0.043478260869565216,8716.0,3262.0
36,Malosma laurina,Ipochus fasciatus,3.0,0.5176627639988762,0.5637788416840807,0.11740532404058186,0.4297693920335429,0.6509966777408638,1371.0,101.0
37,Aquilegia canadensis,Euchaetes egle,110.0,0.023782392045764444,0.03178891262778862,0.029452403070897113,0.0,0.14016245979392686,6076.0,18118.0
38,Lysimachia borealis,Bombus perplexus,54.0,0.09921963282861246,0.13493730466735138,0.07228834584369233,0.0,0.26785714285714285,5215.0,4893.0
39,Impatiens capensis,Lethe anthedon,94.0,0.3562979078533996,0.4370907573925248,0.16654558102482492,0.0,0.7113839975285758,5457.0,12064.0
40,Aquilegia canadensis,Eurosta solidaginis,100.0,0.14232791963883193,0.15310825036376108,0.08009246107057241,0.0,0.34388489208633094,5951.0,6977.0
41,Caltha palustris,Lymantria dispar,55.0,0.09886541582233657,0.12045719383616225,0.06168416696027096,0.0,0.3370820668693009,2914.0,18310.0
42,Impatiens capensis,Tipula abdominalis,84.0,0.3907900668844642,0.43609456632067983,0.1696607877493129,0.0,0.7556352459016393,5356.0,3145.0
43,Passiflora incarnata,Protographium marcellus,82.0,0.29743806721073174,0.3698294642558749,0.13391844340407613,0.0,0.5944956477214541,3792.0,16250.0
44,Cypripedium acaule,Strangalepta abbreviata,61.0,0.15188420374154535,0.14130283172717437,0.09739457532779226,0.0,0.47058823529411764,8823.0,1975.0
45,Impatiens capensis,Lucidota atra,97.0,0.11217701652379379,0.13093163362105245,0.10287610610723943,0.0,0.4519230769230769,5547.0,6577.0
46,Sanguinaria canadensis,Euchaetes egle,108.0,0.0005601962744138932,0.0007741927372193016,0.002519348306825944,0.0,0.019230769230769232,9164.0,17936.0
47,Sanguinaria canadensis,Hemaris thysbe,104.0,0.026358419226952288,0.017699036120706155,0.04884968125050521,0.0,0.25,9146.0,12404.0
48,Passiflora incarnata,Camponotus castaneus,80.0,0.31310950196363274,0.3888138536354462,0.12950635567363752,0.0,0.6523607748184019,3951.0,9826.0
49,Sanguinaria canadensis,Necrophila americana,116.0,0.02666406290134444,0.0338723387063521,0.028005505143275426,0.0,0.10714285714285712,9287.0,9488.0
50,Aquilegia canadensis,Popillia japonica,111.0,0.04967554423766286,0.056574533588397834,0.05885830741170325,0.0,0.30759207040929676,6145.0,32018.0
51,Erythronium americanum,Tipula abdominalis,69.0,0.0001746114894360049,0.00040096230954290296,0.0014504319648887857,0.0,0.012048192771084338,5465.0,2874.0
52,Arisaema triphyllum,Pelecinus polyturator,81.0,0.0057959918373404855,0.006881383548213846,0.01614708565591723,0.0,0.09090909090909091,4106.0,3138.0
53,Impatiens capensis,Popillia japonica,99.0,0.3797045862717661,0.44676399520139176,0.1418140843445786,0.02197802197802198,0.7151515151515152,5569.0,31091.0
54,Aquilegia canadensis,Necrophila americana,114.0,0.2963049383949548,0.34029116420645344,0.1382042268610959,0.0,0.6176470588235294,6216.0,9436.0
55,Malosma laurina,Parancistrocerus declivatus,3.0,0.4016581660394869,0.44210453846939696,0.07401274179969848,0.31668516463189045,0.4520552749719417,1371.0,527.0
56,Malosma laurina,Exochomus fasciatus,3.0,0.3314587469578117,0.4122042045533276,0.189663159038924,0.13836477987421383,0.517494019138756,1371.0,76.0
57,Cypripedium acaule,Rhagio mystaceus,60.0,0.6788570410603048,0.7660497878656196,0.14961436954878643,0.1875,0.9285714285714286,8538.0,2751.0
58,Cypripedium acaule,Lethe eurydice,75.0,0.06814677138082474,0.062989925998708,0.06690985863356844,0.0,0.3666666666666667,9233.0,6023.0
59,Chimaphila maculata,Malthaca dimidiata,48.0,0.13569290280119506,0.14262599817592037,0.11594526492415813,0.0,0.4605592002499219,3168.0,4215.0
60,Aquilegia canadensis,Macaria pustularia,95.0,0.0872751492676919,0.0896088740152364,0.08003532923922889,0.0,0.3333333333333333,5936.0,10304.0
61,Impatiens capensis,Macaria pustularia,91.0,0.2534528957145279,0.30975788571749924,0.14925264260221924,0.0,0.6607669616519174,5404.0,10249.0
62,Cypripedium acaule,Lymantria dispar,61.0,0.23883538840338453,0.26967585419094964,0.1017127818837592,0.0,0.4700679679330777,7976.0,18632.0
63,Cypripedium acaule,Hemadas nubilipennis,56.0,0.0888813249171304,0.08832255851483878,0.07742222046063503,0.0,0.29118773946360155,8539.0,1727.0
64,Erythronium americanum,Tetracis cachexiata,63.0,0.04355799684064362,0.052693605695522804,0.06911283460514321,0.0,0.2967032967032967,5188.0,2379.0
65,Aquilegia canadensis,Hemaris thysbe,104.0,0.1193474522759845,0.100437581322644,0.11995315697860805,0.0,0.6111111111111112,6091.0,12359.0
66,Houstonia caerulea,Iridopsis larvaria,55.0,0.20765963945102467,0.23457915213425945,0.10664975038423466,0.0,0.4077914798206278,6774.0,4534.0
67,Houstonia caerulea,Prionus laticollis,47.0,0.04223790063973985,0.05432556954791597,0.044685457408688206,0.0,0.2,6424.0,6000.0
68,Claytonia virginica,Lucanus capreolus,94.0,0.005177051410242213,0.006789789849233874,0.010712488703676915,0.0,0.06666666666666667,7617.0,9601.0
69,Larrea tridentata,Lytta magister,15.0,0.5209958303461625,0.6181052638573832,0.12237909664806891,0.27840909090909094,0.687,2152.0,2004.0
70,Lysimachia borealis,Bombus terricola,45.0,0.06929832077254386,0.10648197378434317,0.056962473746201205,0.0,0.19763711361205885,4701.0,2372.0
71,Passiflora incarnata,Urbanus proteus,73.0,0.22902939958817436,0.28212270133545975,0.12780126591980165,0.0,0.5281632653061225,3928.0,13000.0
72,Trillium grandiflorum,Cucullia convexipennis,68.0,0.002731441429188791,0.0038939461799818833,0.006484575445191235,0.0,0.04,8669.0,3581.0
73,Aquilegia canadensis,Chauliognathus pensylvanicus,113.0,0.005220665076784135,0.005113694415900876,0.013694227803675659,0.0,0.08333333333333333,6216.0,23262.0
74,Malosma laurina,Judolia sexspilota,6.0,0.34122126423313076,0.33057037880640944,0.1143569104363101,0.19230769230769232,0.48833333333333334,1464.0,508.0
75,Sanguinaria canadensis,Macaria pustularia,95.0,0.00022201106706344238,0.00025195327118270787,0.0016914892670095492,0.0,0.016129032258064516,9008.0,10242.0
76,Sanguinaria canadensis,Eristalis transversa,109.0,0.02727686809066523,0.02536834560781911,0.037140242866229974,0.0,0.16666666666666666,9239.0,13384.0
77,Sanguinaria canadensis,Cyaniris neglecta,104.0,0.02459025420668696,0.03930205054478907,0.03849049410328518,0.0,0.1653610771113831,9105.0,15279.0
78,Lysimachia borealis,Polygonia vaualbum,45.0,0.03012152469145431,0.0443436179386685,0.03910563838641761,0.0,0.13333333333333333,4507.0,1433.0
79,Sanguinaria canadensis,Toxomerus geminatus,117.0,0.09825010101267517,0.08821864285674799,0.10166256453388645,0.0,0.3974358974358974,9316.0,23945.0
80,Passiflora incarnata,Lerema accius,74.0,0.3370289483140651,0.3998189229427902,0.11796634485981566,0.09302325581395349,0.5585177286057051,4018.0,14425.0
81,Cypripedium acaule,Photinus corrusca,70.0,0.29688017348608675,0.2607481841306314,0.10606734994871993,0.1111111111111111,0.5703703703703704,9101.0,9626.0
82,Sanguinaria canadensis,Scopula limboundata,107.0,0.00031204642568869476,0.0006163719092129187,0.0018569336737296008,0.0,0.016129032258064516,9172.0,13287.0
83,Impatiens capensis,Hemaris thysbe,96.0,0.3669576639654597,0.4515781518513748,0.1324981174597612,0.0,0.6640826873385013,5469.0,12335.0
