plant,pollinator,lat_bin,lon_bin,overlap
Asclepias syriaca,Bombus ternarius,45.0,-94.5,0.19975728155339806
Asclepias syriaca,Bombus ternarius,40.5,-79.5,0.4
Asclepias syriaca,Bombus ternarius,45.0,-85.5,0.27530864197530863
Asclepias syriaca,Bombus ternarius,40.5,-76.5,0.25050709939148075
Asclepias syriaca,Bombus ternarius,43.5,-93.0,0.15362318840579708
Asclepias syriaca,Bombus ternarius,42.0,-78.0,0.23076923076923078
Asclepias syriaca,Bombus ternarius,43.5,-87.0,0.32386363636363635
Asclepias syriaca,Bombus ternarius,43.5,-90.0,0.2909663865546218
Asclepias syriaca,Bombus ternarius,46.5,-97.5,0.30686274509803924
Asclepias syriaca,Bombus ternarius,42.0,-72.0,0.22364076601364738
Asclepias syriaca,Bombus ternarius,42.0,-75.0,0.1965394853593611
Asclepias syriaca,Bombus ternarius,43.5,-72.0,0.23874744870555376
Asclepias syriaca,Bombus ternarius,43.5,-69.0,0.3404669260700389
Asclepias syriaca,Bombus ternarius,43.5,-94.5,0.2974137931034483
Asclepias syriaca,Bombus ternarius,42.0,-79.5,0.1575757575757576
Asclepias syriaca,Bombus ternarius,43.5,-91.5,0.3619047619047619
Asclepias syriaca,Bombus ternarius,42.0,-76.5,0.29278523489932884
Asclepias syriaca,Bombus ternarius,42.0,-73.5,0.33183632734530943
Asclepias syriaca,Bombus ternarius,43.5,-85.5,0.34523809523809523
Asclepias syriaca,Bombus ternarius,43.5,-70.5,0.29209270620313565
Asclepias syriaca,Bombus ternarius,43.5,-73.5,0.32256682822782723
Asclepias syriaca,Bombus ternarius,45.0,-93.0,0.26783216783216784
Asclepias syriaca,Bombus ternarius,40.5,-75.0,0.13636363636363635
Erodium cicutarium,Papilio polyxenes,31.5,-103.5,0.17346938775510204
Erodium cicutarium,Papilio polyxenes,28.5,-99.0,0.20509383378016088
Erodium cicutarium,Papilio polyxenes,33.0,-99.0,0.41064780342516755
Erodium cicutarium,Papilio polyxenes,37.5,-78.0,0.1403216860787576
Erodium cicutarium,Papilio polyxenes,34.5,-102.0,0.058823529411764705
Erodium cicutarium,Papilio polyxenes,39.0,-75.0,0.06133625410733845
Erodium cicutarium,Papilio polyxenes,33.0,-97.5,0.2886559401917764
Erodium cicutarium,Papilio polyxenes,37.5,-76.5,0.07351225204200701
Erodium cicutarium,Papilio polyxenes,31.5,-117.0,0.4037383177570093
Erodium cicutarium,Papilio polyxenes,36.0,-117.0,0.5485714285714286
Erodium cicutarium,Papilio polyxenes,40.5,-75.0,0.21827580713951705
Erodium cicutarium,Papilio polyxenes,36.0,-115.5,0.4123477430140913
Erodium cicutarium,Papilio polyxenes,33.0,-102.0,0.09854014598540146
Erodium cicutarium,Papilio polyxenes,39.0,-105.0,0.1946826758147513
Erodium cicutarium,Papilio polyxenes,33.0,-118.5,0.459620596205962
Erodium cicutarium,Papilio polyxenes,34.5,-112.5,0.3137254901960784
Erodium cicutarium,Papilio polyxenes,31.5,-97.5,0.31837606837606836
Erodium cicutarium,Papilio polyxenes,34.5,-117.0,0.5228776978417267
Erodium cicutarium,Papilio polyxenes,34.5,-108.0,0.1557377049180328
Erodium cicutarium,Papilio polyxenes,42.0,-72.0,0.03896103896103896
Erodium cicutarium,Papilio polyxenes,39.0,-78.0,0.13850989834135904
Erodium cicutarium,Papilio polyxenes,33.0,-112.5,0.2585580627407815
Erodium cicutarium,Papilio polyxenes,34.5,-115.5,0.5946196660482375
Erodium cicutarium,Papilio polyxenes,34.5,-106.5,0.15285326086956522
Erodium cicutarium,Papilio polyxenes,31.5,-102.0,0.06451612903225806
Erodium cicutarium,Papilio polyxenes,39.0,-76.5,0.1756728778467909
Erodium cicutarium,Papilio polyxenes,36.0,-118.5,0.20595533498759305
Erodium cicutarium,Papilio polyxenes,33.0,-117.0,0.6262406815761448
Erodium cicutarium,Papilio polyxenes,37.5,-105.0,0.14942528735632182
Erodium cicutarium,Papilio polyxenes,34.5,-118.5,0.4731266149870801
Erodium cicutarium,Papilio polyxenes,39.0,-106.5,0.2216880341880342
Larrea tridentata,Asphondylia auripila,31.5,-115.5,0.17391304347826086
Larrea tridentata,Asphondylia auripila,31.5,-112.5,0.3455357142857143
Larrea tridentata,Asphondylia auripila,36.0,-115.5,0.4411220069883902
Larrea tridentata,Asphondylia auripila,36.0,-118.5,0.5912162162162162
Larrea tridentata,Asphondylia auripila,33.0,-117.0,0.6645302299884582
Larrea tridentata,Asphondylia auripila,33.0,-114.0,0.38471177944862145
Larrea tridentata,Asphondylia auripila,28.5,-105.0,0.36060606060606065
