rank,jaccard,shared_bins,species,pollinator_species,hotspot_lat,hotspot_lon
1,0.6538,17,Malosma laurina,Paranoplium gracile,34.0,-118.5
2,0.625,130,Larrea tridentata,Asphondylia auripila,33.0,-116.5
3,0.6044,330,Lysimachia borealis,Ctenucha virginica,43.5,-72.5
4,0.6,15,Malosma laurina,Pogonortalis doclea,33.5,-118.0
5,0.5826,342,Caltha palustris,Ctenucha virginica,44.0,-73.5
6,0.5694,644,Sanguinaria canadensis,Polygonia comma,38.5,-77.5
7,0.568,351,Caltha palustris,Lon hobomok,44.0,-73.5
8,0.5664,597,Aquilegia canadensis,Lethe anthedon,44.5,-73.5
9,0.5623,519,Aquilegia canadensis,Pelecinus polyturator,44.5,-93.5
10,0.5613,577,Aquilegia canadensis,Lucidota atra,44.5,-93.5
11,0.56,504,Passiflora incarnata,Calycopis cecrops,33.0,-97.0
12,0.5598,585,Sanguinaria canadensis,Lethe anthedon,38.5,-77.5
13,0.5581,298,Lysimachia borealis,Polydrusus formosus,42.0,-71.5
14,0.5569,524,Aquilegia canadensis,Typocerus velutinus,42.0,-71.5
15,0.5521,599,Aquilegia canadensis,Tetraopes tetrophthalmus,41.5,-88.0
16,0.551,513,Sanguinaria canadensis,Typocerus velutinus,42.0,-71.5
17,0.5499,645,Sanguinaria canadensis,Popillia japonica,38.5,-77.5
18,0.5497,365,Erythronium americanum,Cucullia convexipennis,44.0,-73.0
19,0.5495,305,Lysimachia borealis,Lymantria dispar,42.0,-71.5
20,0.5491,123,Trillium ovatum,Bombus sitkensis,48.5,-122.5
21,0.5481,513,Passiflora incarnata,Odontotaenius disjunctus,38.5,-77.5
22,0.5473,324,Lysimachia borealis,Lon hobomok,43.5,-72.5
23,0.5462,272,Lysimachia borealis,Bombus ternarius,43.5,-72.5
24,0.5455,12,Malosma laurina,Iridopsis fragilaria,32.5,-117.5
25,0.5445,312,Caltha palustris,Polydrusus formosus,44.5,-93.5
26,0.5439,409,Passiflora incarnata,Hermeuptychia hermes,29.5,-82.5
27,0.5427,515,Impatiens capensis,Typocerus velutinus,42.0,-71.5
28,0.5426,344,Cypripedium acaule,Bombus perplexus,42.0,-71.5
29,0.5424,557,Sanguinaria canadensis,Lucidota atra,38.5,-77.5
30,0.5417,13,Malosma laurina,Camponotus clarithorax,34.0,-118.5
31,0.5417,13,Malosma laurina,Trirhabda geminata,32.5,-117.5
32,0.5411,461,Sanguinaria canadensis,Tipula abdominalis,39.0,-77.5
33,0.5409,430,Passiflora incarnata,Dynastes tityus,38.5,-77.5
34,0.5403,630,Aquilegia canadensis,Polygonia comma,44.5,-73.5
35,0.5395,498,Sanguinaria canadensis,Pelecinus polyturator,44.5,-93.5
36,0.5385,14,Malosma laurina,Ipochus fasciatus,32.5,-117.5
37,0.5381,615,Aquilegia canadensis,Euchaetes egle,44.5,-73.5
38,0.5358,299,Lysimachia borealis,Bombus perplexus,42.0,-71.5
39,0.5349,575,Impatiens capensis,Lethe anthedon,38.5,-77.5
40,0.5346,541,Aquilegia canadensis,Eurosta solidaginis,44.5,-93.5
41,0.5345,318,Caltha palustris,Lymantria dispar,44.0,-73.5
42,0.5339,464,Impatiens capensis,Tipula abdominalis,39.0,-77.5
43,0.5336,460,Passiflora incarnata,Protographium marcellus,38.5,-77.5
44,0.5328,309,Cypripedium acaule,Strangalepta abbreviata,42.0,-71.5
45,0.532,557,Impatiens capensis,Lucidota atra,42.0,-71.5
46,0.5317,603,Sanguinaria canadensis,Euchaetes egle,38.5,-77.5
47,0.5313,551,Sanguinaria canadensis,Hemaris thysbe,38.5,-77.5
48,0.5299,416,Passiflora incarnata,Camponotus castaneus,38.5,-77.5
49,0.528,613,Sanguinaria canadensis,Necrophila americana,38.5,-77.5
50,0.5274,635,Aquilegia canadensis,Popillia japonica,44.0,-73.5
51,0.5273,377,Erythronium americanum,Tipula abdominalis,39.0,-77.5
52,0.5266,435,Arisaema triphyllum,Pelecinus polyturator,44.5,-93.5
53,0.5266,634,Impatiens capensis,Popillia japonica,42.0,-71.5
54,0.5264,619,Aquilegia canadensis,Necrophila americana,42.0,-71.5
55,0.5263,10,Malosma laurina,Parancistrocerus declivatus,32.5,-117.5
56,0.5263,10,Malosma laurina,Exochomus fasciatus,32.5,-117.5
57,0.5262,341,Cypripedium acaule,Rhagio mystaceus,42.0,-71.5
58,0.5257,399,Cypripedium acaule,Lethe eurydice,42.0,-71.5
59,0.5252,250,Chimaphila maculata,Malthaca dimidiata,38.5,-77.5
60,0.5249,485,Aquilegia canadensis,Macaria pustularia,44.0,-73.5
61,0.5238,484,Impatiens capensis,Macaria pustularia,42.0,-71.5
62,0.5233,337,Cypripedium acaule,Lymantria dispar,42.0,-71.5
63,0.5228,310,Cypripedium acaule,Hemadas nubilipennis,42.0,-71.5
64,0.5224,327,Erythronium americanum,Tetracis cachexiata,42.0,-71.5
65,0.5222,552,Aquilegia canadensis,Hemaris thysbe,44.0,-73.5
66,0.5213,269,Houstonia caerulea,Iridopsis larvaria,39.0,-77.0
67,0.5213,257,Houstonia caerulea,Prionus laticollis,42.0,-71.5
68,0.5212,479,Claytonia virginica,Lucanus capreolus,38.5,-77.5
69,0.5191,95,Larrea tridentata,Lytta magister,33.5,-116.5
70,0.5191,231,Lysimachia borealis,Bombus terricola,44.0,-73.0
71,0.5184,408,Passiflora incarnata,Urbanus proteus,29.5,-82.5
72,0.5178,349,Trillium grandiflorum,Cucullia convexipennis,42.0,-71.5
73,0.5176,648,Aquilegia canadensis,Chauliognathus pensylvanicus,41.5,-88.0
74,0.5172,15,Malosma laurina,Judolia sexspilota,34.0,-119.0
75,0.5169,473,Sanguinaria canadensis,Macaria pustularia,44.0,-73.5
76,0.5159,552,Sanguinaria canadensis,Eristalis transversa,38.5,-77.5
77,0.5158,571,Sanguinaria canadensis,Cyaniris neglecta,38.5,-77.5
78,0.5157,247,Lysimachia borealis,Polygonia vaualbum,44.0,-73.0
79,0.5137,617,Sanguinaria canadensis,Toxomerus geminatus,38.5,-77.5
80,0.5136,434,Passiflora incarnata,Lerema accius,33.0,-97.0
81,0.5132,368,Cypripedium acaule,Photinus corrusca,42.0,-71.5
82,0.5129,578,Sanguinaria canadensis,Scopula limboundata,38.5,-77.5
83,0.5127,545,Impatiens capensis,Hemaris thysbe,38.5,-77.5
84,0.5112,526,Impatiens capensis,Campaea perlata,42.0,-71.5
85,0.5111,665,Sanguinaria canadensis,Halysidota tessellaris,38.5,-77.5
86,0.5108,518,Sanguinaria canadensis,Eurosta solidaginis,44.5,-93.5
87,0.5104,515,Asclepias syriaca,Tetraopes tetrophthalmus,42.0,-71.5
88,0.5092,443,Passiflora incarnata,Xylophanes tersa,35.5,-79.0
89,0.5084,605,Impatiens capensis,Polygonia comma,38.5,-77.5
90,0.5084,304,Erythronium americanum,Lophocampa caryae,44.0,-73.5
91,0.5082,592,Impatiens capensis,Euchaetes egle,38.5,-77.5
92,0.5078,553,Impatiens capensis,Eristalis transversa,42.0,-71.5
93,0.5077,428,Aquilegia canadensis,Cucullia convexipennis,42.0,-71.5
94,0.5074,581,Aquilegia canadensis,Scopula limboundata,35.5,-79.0
95,0.5073,485,Impatiens capensis,Pelecinus polyturator,44.0,-72.5
