rank,lon_min,lon_max,lat_min,lat_max,state
1,-122.5,-122.0,37.5,38.0,California
2,-77.5,-77.0,38.5,39.0,Virginia
3,-122.5,-122.0,37.0,37.5,California
4,-71.5,-71.0,42.0,42.5,Massachusetts
5,-122.5,-122.0,47.5,48.0,Washington
6,-118.5,-118.0,34.0,34.5,California
7,-117.5,-117.0,32.5,33.0,California
8,-77.0,-76.5,39.0,39.5,Maryland
9,-74.0,-73.5,40.5,41.0,New York
10,-122.0,-121.5,37.0,37.5,California
11,-118.0,-117.5,33.5,34.0,California
12,-88.0,-87.5,41.5,42.0,Illinois
13,-77.5,-77.0,39.0,39.5,Maryland
14,-123.0,-122.5,38.0,38.5,California
15,-122.0,-121.5,36.5,37.0,California
16,-79.0,-78.5,35.5,36.0,North Carolina
17,-117.5,-117.0,33.0,33.5,California
18,-123.0,-122.5,45.5,46.0,Washington
19,-123.0,-122.5,37.5,38.0,California
20,-73.0,-72.5,44.0,44.5,Vermont
