plant_species,pollinator_species
Phytolacca americana,Reynoutria japonica
Convolvulus arvensis,Acmaeodera pulchra
Dicentra cucullaria,Dicentra cucullaria
Asclepias syriaca,Bombus ternarius
Dipterostemon capitatus,Dipterostemon capitatus
Achillea millefolium,Achillea millefolium
Bellis perennis,Bellis perennis
Erodium cicutarium,Papilio polyxenes
Larrea tridentata,Asphondylia auripila
Triteleia laxa,Triteleia laxa
Impatiens capensis,Berteroa incana
Mertensia virginica,Mertensia virginica
Impatiens capensis,Impatiens capensis
Asclepias syriaca,Satyrium calanus
Asclepias syriaca,Nymphalis antiopa
Chamaenerion angustifolium,Lepturobosca chrysocoma
Asclepias syriaca,Oncopeltus fasciatus
Erythronium americanum,Claytonia caroliniana
Galium aparine,Quercus agrifolia
Trillium erectum,Claytonia caroliniana
Eschscholzia californica,Eschscholzia californica
Galium aparine,Mercurialis perennis
Claytonia virginica,Claytonia virginica
Galium aparine,Myosotis sylvatica
Asclepias syriaca,Asclepias syriaca
Chamaenerion angustifolium,Chamaenerion angustifolium
Erigeron philadelphicus,Erigeron philadelphicus
Lamium purpureum,Lamium purpureum
Lamium purpureum,Muscari armeniacum
Lamium purpureum,Galanthus nivalis
Malosma laurina,Quercus agrifolia
Asclepias syriaca,Arum italicum
Impatiens capensis,Saltator coerulescens
Asclepias syriaca,Typocerus velutinus
Asclepias syriaca,Argynnis cybele
Asclepias syriaca,Danaus plexippus
Maianthemum racemosum,Geranium maculatum
Alliaria petiolata,Alliaria petiolata
Achillea millefolium,Pseudovadonia livida
Erythronium americanum,Cardamine concatenata
Alliaria petiolata,Taraxacum campylodes
Glechoma hederacea,Glechoma hederacea
Glechoma hederacea,Ribes nigrum
Trillium grandiflorum,Chalcosyrphus libo
Caltha palustris,Oncorhynchus kisutch
Glechoma hederacea,Tussilago farfara
Asclepias syriaca,Euphyes vestris
Larrea tridentata,Apis mellifera
Convolvulus arvensis,Berberis thunbergii
Asclepias syriaca,Bombus griseocollis
Alliaria petiolata,Prunus laurocerasus
Asclepias syriaca,Apis mellifera
Lonicera maackii,Acer saccharinum
Phytolacca americana,Clematis terniflora
