plant,pollinator,n,n_inat
Abronia angustifolia,Abaeis nicippe,1,1
Abronia angustifolia,Polites sabuleti,1,1
Abronia fragrans,Neogrotella confusa,1,1
Abronia latifolia,Anthophora terminalis,1,1
Abronia latifolia,Apis mellifera,3,3
Abronia latifolia,Battus philenor,1,1
Abronia latifolia,Bombus californicus,5,5
Abronia latifolia,Bombus fervidus,2,0
Abronia latifolia,Bombus flavifrons,3,0
Abronia latifolia,Bombus melanopygus,1,1
Abronia latifolia,Bombus vosnesenskii,2,1
Abronia latifolia,Habropoda miserabilis,1,1
Abronia latifolia,Hylephila phyleus,2,2
Abronia latifolia,Hyles gallii,1,1
Abronia latifolia,Lon melane,1,1
Abronia latifolia,Osmia bucephala,3,3
Abronia maritima,Agapostemon texanus,1,0
Abronia maritima,Anthophora urbana,3,3
Abronia maritima,Apis mellifera,1,1
Abronia maritima,Bombus californicus,6,6
Abronia maritima,Bombus sonorus,20,20
Abronia maritima,Bombus vosnesenskii,1,1
Abronia maritima,Colias eurytheme,3,3
Abronia maritima,Danaus plexippus,1,1
Abronia maritima,Plutella xylostella,2,2
Abronia maritima,Vanessa cardui,1,1
Abronia umbellata,Apis mellifera,1,1
Abronia umbellata,Atalopedes campestris,1,1
Abronia umbellata,Augochlorella pomoniella,2,2
Abronia umbellata,Bombus sonorus,1,1
Abronia umbellata,Bombus vosnesenskii,2,2
Abronia umbellata,Copestylum fraudulentum,1,1
Abronia umbellata,Heterostylum robustum,1,1
Abronia umbellata,Hyles lineata,1,1
Abronia umbellata,Lon melane,2,2
Abronia umbellata,Papilio rutulus,2,2
Abronia umbellata,Vanessa cardui,1,1
Abronia villosa,Abaeis nicippe,4,4
Abronia villosa,Altica torquata,1,1
Abronia villosa,Anthophora urbana,1,1
Abronia villosa,Apis mellifera,9,9
Abronia villosa,Autographa californica,1,1
Abronia villosa,Calypte costae,2,2
Abronia villosa,Chlosyne acastus,1,1
Abronia villosa,Copestylum haagii,1,1
Abronia villosa,Cysteodemus armatus,1,1
Abronia villosa,Danaus gilippus,2,2
Abronia villosa,Danaus plexippus,3,3
Abronia villosa,Eleodes armata,1,1
Abronia villosa,Eristalis tenax,1,1
Abronia villosa,Eupeodes volucris,1,1
Abronia villosa,Euproserpinus phaeton,3,3
Abronia villosa,Hylephila phyleus,2,2
Abronia villosa,Hyles lineata,98,98
Abronia villosa,Lytta auriculata,4,4
Abronia villosa,Lytta stygica,2,2
Abronia villosa,Papilio rutulus,1,1
Abronia villosa,Phoebis agarithe,2,2
Abronia villosa,Pontia protodice,3,3
Abronia villosa,Vanessa cardui,53,53
Abutilon abutiloides,Brachycoryna pumila,2,2
Abutilon abutiloides,Brachymyrmex patagonicus,1,1
Abutilon abutiloides,Erynnis funeralis,1,1
Abutilon abutiloides,Lerodea eufala,1,1
Abutilon abutiloides,Systasea pulverulenta,2,2
Abutilon hypoleucum,Heliopetes laviana,1,1
Abutilon incanum,Agaeocera scintillans,1,1
Abutilon theophrasti,Acanthoscelides obtectus,1,0
Abutilon theophrasti,Agapostemon texanus,1,0
Abutilon theophrasti,Andrena erythrogaster,1,0
Abutilon theophrasti,Andrena quintilis,1,0
Abutilon theophrasti,Anthophora walshii,1,0
Abutilon theophrasti,Apis mellifera,1,1
Abutilon theophrasti,Augochlora pura,1,1
Abutilon theophrasti,Bombus impatiens,1,0
Abutilon theophrasti,Brachysomida bivittata,1,0
Abutilon theophrasti,Eristalis flavipes,1,0
Abutilon theophrasti,Heriades leavitti,1,0
Abutilon theophrasti,Melissodes desponsus,1,0
Abutilon theophrasti,Onthophagus pennsylvanicus,1,0
Abutilon theophrasti,Parhelophilus divisus,1,0
Abutilon theophrasti,Stelis lateralis,1,0
Abutilon trisulcatum,Systasea pulverulenta,1,1
Acacia longifolia,Ancistrocerus adiabatus,1,1
Acacia longifolia,Apis mellifera,1,1
Acacia longifolia,Scolia bicincta,1,1
Acacia longifolia,Vespula pensylvanica,3,3
Acaciella angustissima,Echinargus isola,1,1
Acaciella angustissima,Eulonchopria punctatissima,1,1
Acaciella angustissima,Hylephila phyleus,1,1
Acaciella angustissima,Junonia coenia,1,1
Acaciella angustissima,Strymon melinus,3,3
Acalypha persimilis,Hylephila phyleus,1,1
Acalypha rhomboidea,Phyciodes tharos,1,1
Acamptopappus sphaerocephalus,Apis mellifera,2,2
Acamptopappus sphaerocephalus,Brephidium exilis,3,3
Acamptopappus sphaerocephalus,Coccinella septempunctata,1,1
Acamptopappus sphaerocephalus,Cysteodemus armatus,4,4
Acamptopappus sphaerocephalus,Epicauta wheeleri,1,1
Acamptopappus sphaerocephalus,Eupompha elegans,2,2
Acamptopappus sphaerocephalus,Papilio polyxenes,1,1
Acamptopappus sphaerocephalus,Physocephala texana,1,1
Acamptopappus sphaerocephalus,Pontia protodice,4,4
Acamptopappus sphaerocephalus,Vanessa cardui,1,1
Acanthocereus tetragonus,Apis mellifera,1,1
Acer circinatum,Apis mellifera,1,1
Acer circinatum,Megachile melanophaea,1,1
Acer ginnala,Andrena prunorum,1,1
Acer ginnala,Bombus impatiens,1,1
Acer ginnala,Eristalis tenax,1,1
Acer glabrum,Limenitis weidemeyerii,1,1
Acer macrophyllum,Antheraea polyphemus,1,1
Acer macrophyllum,Apis mellifera,2,2
Acer macrophyllum,Bombus melanopygus,2,2
Acer macrophyllum,Bombus sitkensis,2,2
Acer macrophyllum,Bombus vosnesenskii,3,3
Acer macrophyllum,Harmonia axyridis,1,1
Acer macrophyllum,Polygonia satyrus,1,1
Acer macrophyllum,Psyllobora vigintimaculata,2,2
Acer negundo,Acanthoscelides obtectus,1,0
Acer negundo,Acronicta americana,2,2
Acer negundo,Acronicta retardata,1,1
Acer negundo,Aedes vexans,1,0
Acer negundo,Agapostemon texanus,1,0
Acer negundo,Agapostemon virescens,1,1
Acer negundo,Andrena erythrogaster,1,0
Acer negundo,Andrena imitatrix,1,1
Acer negundo,Andrena simplex,1,0
Acer negundo,Anthophora walshii,1,0
Acer negundo,Apis mellifera,2,2
Acer negundo,Asterocampa celtis,1,1
Acer negundo,Callopistromyia strigula,1,1
Acer negundo,Caloptilia negundella,1,1
Acer negundo,Camponotus pennsylvanicus,1,1
Acer negundo,Colletes inaequalis,1,1
Acer negundo,Contarinia negundinis,4,4
Acer negundo,Cryptorhopalum triste,1,0
Acer negundo,Disonycha xanthomelas,1,1
Acer negundo,Falsomordellistena pubescens,1,1
Acer negundo,Harmonia axyridis,3,3
Acer negundo,Hypena scabra,1,1
Acer negundo,Laphria grossa,1,1
Acer negundo,Lasioglossum cinctipes,1,0
Acer negundo,Megarhyssa atrata,1,1
Acer negundo,Megarhyssa greenei,3,3
Acer negundo,Megarhyssa macrura,1,1
Acer negundo,Neoclytus acuminatus,1,1
Acer negundo,Nomada illinoensis,1,0
Acer negundo,Olethreutes astrologana,1,1
Acer negundo,Olethreutes fasciatana,1,1
Acer negundo,Orgyia leucostigma,5,5
Acer negundo,Parhelophilus divisus,1,0
Acer negundo,Pedilus lugubris,1,1
Acer negundo,Pentaria trifasciata,1,0
Acer negundo,Physocephala texana,1,0
Acer negundo,Polygonia interrogationis,1,1
Acer negundo,Prenolepis imparis,4,4
Acer negundo,Promachus hinei,1,1
Acer negundo,Psectrotanypus dyari,1,1
Acer negundo,Pseudopanurgus labrosus,1,0
Acer negundo,Tremex columba,1,1
Acer negundo,Tritoma mimetica,1,1
Acer negundo,Valgus canaliculatus,1,0
Acer negundo,Xylocopa virginica,1,1
Acer pensylvanicum,Celastrina lucia,1,1
Acer platanoides,Andrena carlini,1,1
Acer platanoides,Andrena imitatrix,1,1
Acer platanoides,Andrena rufosignata,3,3
Acer platanoides,Andrena vicina,1,1
Acer platanoides,Bibio slossonae,1,1
Acer platanoides,Bombus impatiens,1,1
Acer platanoides,Campaea perlata,1,1
Acer platanoides,Ceratina calcarata,1,1
Acer platanoides,Colletes inaequalis,5,5
Acer platanoides,Cycloneda polita,1,1
Acer platanoides,Eristalinus aeneus,1,1
Acer platanoides,Eupeodes americanus,1,1
Acer platanoides,Eupeodes volucris,1,1
Acer platanoides,Nephrotoma alterna,1,1
Acer platanoides,Nomada maculata,1,1
Acer platanoides,Nymphalis antiopa,1,1
Acer platanoides,Osmia lignaria,1,1
Acer platanoides,Phigalia strigataria,1,1
Acer platanoides,Polistes dominula,1,1
Acer platanoides,Polygonia comma,1,1
Acer platanoides,Prenolepis imparis,1,1
Acer platanoides,Saperda discoidea,1,1
Acer platanoides,Tremex columba,1,1
Acer platanoides,Vanessa atalanta,3,3
Acer platanoides,Vespula maculifrons,1,1
Acer platanoides,Xylocopa virginica,14,14
Acer pseudoplatanus,Andrena milwaukeensis,1,1
Acer pseudoplatanus,Synanthedon acerrubri,1,1
Acer rubrum,Acericecis ocellaris,3,3
Acer rubrum,Acronicta americana,4,4
Acer rubrum,Acronicta retardata,2,2
Acer rubrum,Alsophila pometaria,4,4
Acer rubrum,Amphipyra pyramidoides,1,1
Acer rubrum,Andrena frigida,2,2
Acer rubrum,Andrena vicina,1,1
Acer rubrum,Apis mellifera,8,8
Acer rubrum,Archilochus colubris,2,2
Acer rubrum,Arogalea cristifasciella,2,2
Acer rubrum,Atomosia puella,1,1
Acer rubrum,Bombus impatiens,2,1
Acer rubrum,Bombus terricola,1,1
Acer rubrum,Caloptilia bimaculatella,1,1
Acer rubrum,Camponotus subbarbatus,1,1
Acer rubrum,Carabus granulatus,1,1
Acer rubrum,Ceratina calcarata,1,1
Acer rubrum,Charidotella sexpunctata,1,1
Acer rubrum,Colletes inaequalis,32,32
Acer rubrum,Cyrtophorus verrucosus,1,1
Acer rubrum,Dicymolomia julianalis,1,1
Acer rubrum,Diprion similis,2,2
Acer rubrum,Elephantomyia westwoodi,1,1
Acer rubrum,Epicallima argenticinctella,1,1
Acer rubrum,Eudryas unio,1,1
Acer rubrum,Eupeodes americanus,3,3
Acer rubrum,Euwallacea validus,1,1
Acer rubrum,Falsomordellistena pubescens,1,1
Acer rubrum,Glaucolepis saccharella,1,1
Acer rubrum,Ischyrus quadripunctatus,1,1
Acer rubrum,Lasioglossum coeruleum,2,2
Acer rubrum,Libytheana carinenta,1,1
Acer rubrum,Macaria pustularia,1,1
Acer rubrum,Machimia tentoriferella,1,1
Acer rubrum,Madoniella dislocata,1,1
Acer rubrum,Minettia magna,1,1
Acer rubrum,Nymphalis antiopa,4,4
Acer rubrum,Orgyia leucostigma,1,1
Acer rubrum,Orthosia hibisci,1,1
Acer rubrum,Osmia lignaria,10,10
Acer rubrum,Parallelia bistriaris,2,2
Acer rubrum,Photinus corrusca,1,1
Acer rubrum,Photinus pyralis,1,1
Acer rubrum,Polistes fuscatus,4,4
Acer rubrum,Priocnemis minorata,1,1
