plant,feature,contrast,auc
Astragalus flexuosus,delta,vs random,0.9541666666666666
Astragalus flexuosus,delta,vs co-occurring,0.8866666666666666
Astragalus flexuosus,delta_local,vs random,0.9824999999999999
Astragalus flexuosus,delta_local,vs co-occurring,0.8808333333333334
Astragalus flexuosus,N,vs random,0.99125
Astragalus flexuosus,N,vs co-occurring,0.9391666666666667
Heterotheca subaxillaris,delta,vs random,0.8758796296296296
Heterotheca subaxillaris,delta,vs co-occurring,0.8245370370370371
Heterotheca subaxillaris,delta_local,vs random,0.9051851851851852
Heterotheca subaxillaris,delta_local,vs co-occurring,0.8454166666666666
Heterotheca subaxillaris,N,vs random,0.927962962962963
Heterotheca subaxillaris,N,vs co-occurring,0.8645601851851852
Lithospermum occidentale,delta,vs random,0.875
Lithospermum occidentale,delta,vs co-occurring,0.615
Lithospermum occidentale,delta_local,vs random,0.8495833333333334
Lithospermum occidentale,delta_local,vs co-occurring,0.5220833333333333
Lithospermum occidentale,N,vs random,0.8991666666666667
Lithospermum occidentale,N,vs co-occurring,0.8264583333333333
Indigofera spicata,delta,vs random,0.8975000000000001
Indigofera spicata,delta,vs co-occurring,0.7733333333333334
Indigofera spicata,delta_local,vs random,0.9966666666666666
Indigofera spicata,delta_local,vs co-occurring,0.9783333333333334
Indigofera spicata,N,vs random,1.0
Indigofera spicata,N,vs co-occurring,0.9929166666666667
Galium aparine,delta,vs random,0.5921428571428572
Galium aparine,delta,vs co-occurring,0.5344642857142857
Galium aparine,delta_local,vs random,0.6314285714285715
Galium aparine,delta_local,vs co-occurring,0.5425595238095239
Galium aparine,N,vs random,0.7156547619047618
Galium aparine,N,vs co-occurring,0.6520833333333333
Sisymbrium irio,delta,vs random,0.9359509885825675
Sisymbrium irio,delta,vs co-occurring,0.8747222222222221
Sisymbrium irio,delta_local,vs random,0.9724310776942355
Sisymbrium irio,delta_local,vs co-occurring,0.9211111111111111
Sisymbrium irio,N,vs random,0.9952659426343636
Sisymbrium irio,N,vs co-occurring,0.9858333333333333
Elephantopus tomentosus,delta,vs random,0.9186602870813397
Elephantopus tomentosus,delta,vs co-occurring,0.8393181818181819
Elephantopus tomentosus,delta_local,vs random,0.9462292093871041
Elephantopus tomentosus,delta_local,vs co-occurring,0.8324999999999999
Elephantopus tomentosus,N,vs random,0.9884939621781726
Elephantopus tomentosus,N,vs co-occurring,0.9653409090909091
Barbarea orthoceras,delta,vs random,0.8411363636363636
Barbarea orthoceras,delta,vs co-occurring,0.7529545454545454
Barbarea orthoceras,delta_local,vs random,0.8504545454545456
Barbarea orthoceras,delta_local,vs co-occurring,0.6956818181818181
Barbarea orthoceras,N,vs random,0.8706818181818183
Barbarea orthoceras,N,vs co-occurring,0.7498863636363636
Calochortus palmeri,delta,vs random,0.9608333333333333
Calochortus palmeri,delta,vs co-occurring,0.9175000000000001
Calochortus palmeri,delta_local,vs random,0.985
Calochortus palmeri,delta_local,vs co-occurring,0.8416666666666667
Calochortus palmeri,N,vs random,0.9924999999999999
Calochortus palmeri,N,vs co-occurring,0.91625
Asparagus officinalis,delta,vs random,0.8214705882352941
Asparagus officinalis,delta,vs co-occurring,0.6941176470588235
Asparagus officinalis,delta_local,vs random,0.8186764705882352
Asparagus officinalis,delta_local,vs co-occurring,0.6753676470588236
Asparagus officinalis,N,vs random,0.8423161764705882
Asparagus officinalis,N,vs co-occurring,0.7159926470588236
Sisyrinchium montanum,delta,vs random,0.9912500000000001
Sisyrinchium montanum,delta,vs co-occurring,0.95625
Sisyrinchium montanum,delta_local,vs random,0.98125
Sisyrinchium montanum,delta_local,vs co-occurring,0.9225
Sisyrinchium montanum,N,vs random,0.989375
Sisyrinchium montanum,N,vs co-occurring,0.97
Dipterostemon capitatus,delta,vs random,0.9356666666666666
Dipterostemon capitatus,delta,vs co-occurring,0.9079999999999999
Dipterostemon capitatus,delta_local,vs random,0.974
Dipterostemon capitatus,delta_local,vs co-occurring,0.9121666666666667
Dipterostemon capitatus,N,vs random,0.9924999999999999
Dipterostemon capitatus,N,vs co-occurring,0.98
Penstemon spectabilis,delta,vs random,0.9054580896686161
Penstemon spectabilis,delta,vs co-occurring,0.8201388888888889
Penstemon spectabilis,delta_local,vs random,0.968671679197995
Penstemon spectabilis,delta_local,vs co-occurring,0.7722222222222223
Penstemon spectabilis,N,vs random,0.9910888331940964
Penstemon spectabilis,N,vs co-occurring,0.9288888888888889
Claytonia sibirica,delta,vs random,0.8761904761904762
Claytonia sibirica,delta,vs co-occurring,0.7905
Claytonia sibirica,delta_local,vs random,0.9481203007518796
Claytonia sibirica,delta_local,vs co-occurring,0.7489999999999999
Claytonia sibirica,N,vs random,0.9928571428571428
Claytonia sibirica,N,vs co-occurring,0.968625
Zizia aurea,delta,vs random,0.8058103015075376
Zizia aurea,delta,vs co-occurring,0.7372421875
Zizia aurea,delta_local,vs random,0.8885521356783921
Zizia aurea,delta_local,vs co-occurring,0.767609375
Zizia aurea,N,vs random,0.9234453517587939
Zizia aurea,N,vs co-occurring,0.8489453125
Heliotropium indicum,delta,vs random,0.891875
Heliotropium indicum,delta,vs co-occurring,0.753125
Heliotropium indicum,delta_local,vs random,0.96
Heliotropium indicum,delta_local,vs co-occurring,0.8462500000000001
Heliotropium indicum,N,vs random,0.9490625
Heliotropium indicum,N,vs co-occurring,0.7975000000000001
Crotalaria rotundifolia,delta,vs random,0.9187500000000001
Crotalaria rotundifolia,delta,vs co-occurring,0.7275
Crotalaria rotundifolia,delta_local,vs random,0.9675
Crotalaria rotundifolia,delta_local,vs co-occurring,0.7625000000000001
Crotalaria rotundifolia,N,vs random,0.983125
Crotalaria rotundifolia,N,vs co-occurring,0.8362499999999999
Eryngium yuccifolium,delta,vs random,0.8940765471191575
Eryngium yuccifolium,delta,vs co-occurring,0.799200913242009
Eryngium yuccifolium,delta_local,vs random,0.9245485417957368
Eryngium yuccifolium,delta_local,vs co-occurring,0.7991552511415525
Eryngium yuccifolium,N,vs random,0.9256843578623712
Eryngium yuccifolium,N,vs co-occurring,0.8210844748858448
Pulsatilla nuttalliana,delta,vs random,0.88921875
Pulsatilla nuttalliana,delta,vs co-occurring,0.7828125
Pulsatilla nuttalliana,delta_local,vs random,0.95875
Pulsatilla nuttalliana,delta_local,vs co-occurring,0.8523437500000001
Pulsatilla nuttalliana,N,vs random,0.9890625
Pulsatilla nuttalliana,N,vs co-occurring,0.9573437499999999
Nigella damascena,delta,vs random,0.9139999999999999
Nigella damascena,delta,vs co-occurring,0.8025000000000001
Nigella damascena,delta_local,vs random,0.93
Nigella damascena,delta_local,vs co-occurring,0.7865
Nigella damascena,N,vs random,0.9742500000000001
Nigella damascena,N,vs co-occurring,0.9117500000000001
Arnoglossum atriplicifolium,delta,vs random,0.7692950324529273
Arnoglossum atriplicifolium,delta,vs co-occurring,0.6271794871794871
Arnoglossum atriplicifolium,delta_local,vs random,0.8187134502923977
Arnoglossum atriplicifolium,delta_local,vs co-occurring,0.6521153846153847
Arnoglossum atriplicifolium,N,vs random,0.8207056101792944
Arnoglossum atriplicifolium,N,vs co-occurring,0.6557371794871796
Eupatorium leptophyllum,delta,vs random,0.9033333333333332
Eupatorium leptophyllum,delta,vs co-occurring,0.7275
Eupatorium leptophyllum,delta_local,vs random,0.9666666666666667
Eupatorium leptophyllum,delta_local,vs co-occurring,0.8208333333333333
Eupatorium leptophyllum,N,vs random,0.9945833333333334
Eupatorium leptophyllum,N,vs co-occurring,0.9774999999999999
Scandix pecten-veneris,delta,vs random,0.9512500000000002
Scandix pecten-veneris,delta,vs co-occurring,0.9049999999999999
Scandix pecten-veneris,delta_local,vs random,0.9775
Scandix pecten-veneris,delta_local,vs co-occurring,0.92625
Scandix pecten-veneris,N,vs random,0.994375
Scandix pecten-veneris,N,vs co-occurring,0.9825
Symphyotrichum subspicatum,delta,vs random,0.9012903225806451
Symphyotrichum subspicatum,delta,vs co-occurring,0.7881451612903225
Symphyotrichum subspicatum,delta_local,vs random,0.9513709677419355
Symphyotrichum subspicatum,delta_local,vs co-occurring,0.7458064516129033
Symphyotrichum subspicatum,N,vs random,0.9577016129032259
Symphyotrichum subspicatum,N,vs co-occurring,0.8306854838709679
