spec,grid,max_iter,learning_rate,min_samples_leaf,l2_regularization,val_recall@10,max_leaf_nodes
geo,3,800,0.05,100,5.0,0.2698046107229278,
geo,4,400,0.08,40,1.0,0.2584670843295984,15.0
geo,1,800,0.05,40,1.0,0.2582209576766901,
geo,0,400,0.08,40,1.0,0.25545171077940504,
geo,2,400,0.08,100,5.0,0.25471593862995434,
geo,5,800,0.05,100,5.0,0.2543140238196432,15.0
geo_taxshare,3,800,0.05,100,5.0,0.2072935747468163,
geo_taxshare,5,800,0.05,100,5.0,0.20627175594713298,15.0
geo_taxshare,2,400,0.08,100,5.0,0.19953169906053309,
geo_taxshare,1,800,0.05,40,1.0,0.19612575425073175,
geo_taxshare,0,400,0.08,40,1.0,0.1932311256410184,
geo_taxshare,4,400,0.08,40,1.0,0.1922694807426796,15.0
