plant,degree,genus_seen,r10_rank_n,hit_rank_n,r10_rank_tax,hit_rank_tax,r10_rank_n_tax,hit_rank_n_tax,r10_rank_n_tax_ldelta,hit_rank_n_tax_ldelta,r10_rank_full_tax,hit_rank_full_tax,r10_hyb_n_tax,hit_hyb_n_tax,r10_hyb_n_ldelta,hit_hyb_n_ldelta,r10_hyb_n_tax_ldelta,hit_hyb_n_tax_ldelta
Abutilon hypoleucum,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abutilon theophrasti,15,True,0.06666666666666667,1.0,0.06666666666666667,1.0,0.13333333333333333,1.0,0.13333333333333333,1.0,0.13333333333333333,1.0,0.06666666666666667,1.0,0.06666666666666667,1.0,0.06666666666666667,1.0
Acer pensylvanicum,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achyronychia cooperi,4,False,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
Acmella repens,19,False,0.10526315789473684,1.0,0.10526315789473684,1.0,0.15789473684210525,1.0,0.21052631578947367,1.0,0.21052631578947367,1.0,0.10526315789473684,1.0,0.10526315789473684,1.0,0.10526315789473684,1.0
Acmispon maritimus,1,True,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adelinia grandis,16,False,0.1875,1.0,0.1875,1.0,0.1875,1.0,0.25,1.0,0.125,1.0,0.1875,1.0,0.1875,1.0,0.1875,1.0
Adenostoma sparsifolium,2,True,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0
Aesculus californica,46,True,0.15217391304347827,1.0,0.021739130434782608,1.0,0.021739130434782608,1.0,0.043478260869565216,1.0,0.021739130434782608,1.0,0.15217391304347827,1.0,0.15217391304347827,1.0,0.15217391304347827,1.0
Ageratina adenophora,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ageratina aromatica,13,True,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,0.15384615384615385,1.0,0.15384615384615385,1.0
Agrimonia parviflora,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allium geyeri,2,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0
Amaranthus palmeri,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambrosia ambrosioides,2,True,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambrosia psilostachya,5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amelanchier laevis,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amsonia tomentosa,4,True,0.5,1.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0
Angelica capitellata,21,True,0.0,0.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anisocarpus madioides,1,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anisocoma acaulis,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthriscus sylvestris,37,False,0.05405405405405406,1.0,0.0,0.0,0.02702702702702703,1.0,0.02702702702702703,1.0,0.0,0.0,0.05405405405405406,1.0,0.05405405405405406,1.0,0.05405405405405406,1.0
Apios americana,33,False,0.06060606060606061,1.0,0.06060606060606061,1.0,0.12121212121212122,1.0,0.12121212121212122,1.0,0.12121212121212122,1.0,0.06060606060606061,1.0,0.06060606060606061,1.0,0.06060606060606061,1.0
Arabidopsis thaliana,1,True,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aralia racemosa,14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arctostaphylos bakeri,2,True,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0
Arctostaphylos hookeri,3,True,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arctostaphylos manzanita,14,True,0.14285714285714285,1.0,0.21428571428571427,1.0,0.21428571428571427,1.0,0.21428571428571427,1.0,0.21428571428571427,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0
Arctostaphylos nevadensis,4,True,0.0,0.0,0.25,1.0,0.25,1.0,0.25,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnoglossum atriplicifolium,39,True,0.02564102564102564,1.0,0.1282051282051282,1.0,0.1282051282051282,1.0,0.10256410256410256,1.0,0.1282051282051282,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0
Arnoglossum ovatum,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnoglossum plantagineum,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asclepias californica,6,True,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
Asclepias incarnata,257,True,0.03501945525291829,1.0,0.03501945525291829,1.0,0.038910505836575876,1.0,0.038910505836575876,1.0,0.038910505836575876,1.0,0.03501945525291829,1.0,0.03501945525291829,1.0,0.03501945525291829,1.0
