variant,head,recall@10,lo,hi,recall@50,hit@10,pooled_PR,t1_recall@10
joint,retrieval,0.24959459344489857,0.2273010538862097,0.27304921007880384,0.5409298465519854,0.7160940325497287,0.8620971997979907,0.4313780738410731
joint,compatibility,0.25646751690323955,0.23251823225100687,0.2807160162699676,0.5363019722230498,0.7251356238698011,0.8587153197121906,0.4521004384762707
rank_only,retrieval,0.25525619920737197,0.23107992271806313,0.27874959558119644,0.5290350869775965,0.7251356238698011,0.8547022422861023,0.4432257718892325
rank_only,compatibility,0.0632879062136768,0.05043804808568409,0.07737557150090861,0.17820393475905952,0.3399638336347197,0.6299677084591122,0.11638579800496751
comp_only,retrieval,0.1129910829590515,0.09834975487407135,0.1301407963632241,0.3019058903879488,0.5352622061482821,0.7299154676001272,0.30592160836642057
comp_only,compatibility,0.22328872432992838,0.20052980032865603,0.24837162012133923,0.45619152470857627,0.6871609403254972,0.8223022681701793,0.49022635604866166
joint_noDelta,retrieval,0.23686509719684598,0.211814772995504,0.2597587426008008,0.5145154131760552,0.6980108499095841,0.8580283991841964,0.4353855952373864
joint_noDelta,compatibility,0.23632819017986964,0.2113182305783588,0.2589879077891845,0.5114816904481264,0.6980108499095841,0.8526484116884625,0.45436778667184824
joint_globalDelta,retrieval,0.24767398344603442,0.22537574497612783,0.2721110880408718,0.5458353450227936,0.7215189873417721,0.8633681913805522,0.45463916249625363
joint_globalDelta,compatibility,0.24470273480134244,0.22164233373187042,0.26828465159115,0.5428654670182655,0.7124773960216998,0.8591045338141751,0.4703551833002038
joint_localDelta,retrieval,0.2397397183221583,0.21697981573021266,0.26315502333760643,0.5161333991659921,0.701627486437613,0.8596254603459629,0.45923136250131746
joint_localDelta,compatibility,0.23284151557115554,0.21042389166991599,0.2556624480916787,0.4987818158564938,0.6889692585895117,0.8539057087632684,0.4792025888004621
