variant,head,recall@10,lo,hi,recall@50,hit@10,pooled_PR,t1_recall@10
joint,retrieval,0.2573910261159536,0.2337089309004418,0.2833480045852478,0.5399219794980752,0.7269439421338155,0.8611026251224227,0.45694956666048436
joint,compatibility,0.25982057743213266,0.23420340370812026,0.2854412525280869,0.5395233049762054,0.7323688969258589,0.8581875404515014,0.49814192937193585
rank_only,retrieval,0.2612005946949933,0.23776471517700384,0.2869070868187493,0.5462194455189194,0.7359855334538878,0.856186288584093,0.47456483691791396
rank_only,compatibility,0.05967049417730554,0.047477275475515494,0.07356728437113483,0.1762313581071494,0.34900542495479203,0.6225309442440526,0.116939662874164
comp_only,retrieval,0.10530255286582413,0.08978668746512448,0.12192355684979843,0.3028624428832282,0.5226039783001808,0.7402131707204644,0.2797601723790491
comp_only,compatibility,0.21801206053114494,0.19529053948606176,0.24364617627265586,0.4401970989836809,0.6636528028933092,0.8191222603596602,0.48532738076300563
joint_noDelta,retrieval,0.2631116559064611,0.23927051702038893,0.28782247464434857,0.5344711230427533,0.7233273056057866,0.8609191372051497,0.4799808613765141
joint_noDelta,compatibility,0.25952133448341713,0.23490406704992123,0.2839574464619715,0.5425936770234955,0.7197106690777577,0.8603956337088803,0.5003724914775035
joint_globalDelta,retrieval,0.24512348881471235,0.22181711774545015,0.2707652653716724,0.5382304357758301,0.7106690777576854,0.8617372114860548,0.4627216584123232
joint_globalDelta,compatibility,0.24820398235560867,0.22490992307495206,0.2732813064771897,0.5336679927496221,0.7197106690777577,0.8567391106810581,0.4898020843912725
joint_localDelta,retrieval,0.24384769922742455,0.22060280553289383,0.2682978079071312,0.5171998475639075,0.7106690777576854,0.8626669664674251,0.48797880049644876
joint_localDelta,compatibility,0.23346292579673902,0.2097384147151882,0.2568454343988548,0.4883956241759644,0.6962025316455697,0.8565204989698326,0.5073433053844091
