arm,recall@10,lo,hi
spatial,0.33660018535593245,0.30928171805756544,0.36250953518297874
curves,0.34763395151919124,0.32032347505180575,0.37437733806805334
curves_sdm,0.3463517398141437,0.317769351661928,0.3733005100682705
global_delta,0.3495819359646413,0.3220247030757136,0.375591191408381
global_delta_sdm,0.3452286064676349,0.31728470743560433,0.37063687707934156
local_delta_hand,0.3543460698745991,0.32741721619186487,0.3800812723802423
local_learned,0.35604302787336006,0.3269636156219389,0.3818506960684524
N only,0.1704690565513244,0.15032498287569945,0.1934183614314805
congeneric transfer,0.17161953375011915,0.14788659846031083,0.19425758707639862
latent-trait SVD,0.2538392685833819,0.226499460390433,0.27916337113124
