arm,wide,curves,trajectory,head,recall@10,lo,hi,pooled_PR,t1_recall@10
none,base,False,False,retrieval,0.24380439051976885,0.22168023272513585,0.26625541428727334,0.860482381762951,0.46065188110148575
none,base,False,False,compatibility,0.24812293677016464,0.22563227355869375,0.2705800067095663,0.8606116138905245,0.4988093754939908
delta_scalar,delta,False,False,retrieval,0.24779921649716352,0.22641377773901256,0.26954818557597904,0.8645605745475471,0.47426672050335333
delta_scalar,delta,False,False,compatibility,0.24796124356222649,0.22607610273594536,0.2693822173756128,0.861931564564385,0.5019207410763316
summaries_7,summaries,False,False,retrieval,0.2483463557415061,0.22706122387073155,0.27068329105917105,0.861085676973743,0.4924667222898625
summaries_7,summaries,False,False,compatibility,0.23383448471217905,0.2129415586012406,0.2545125136294253,0.853683524538849,0.49081806853115023
curves,base,True,False,retrieval,0.24788390702261032,0.22618053582153672,0.2694185263297388,0.8573125796933366,0.5029448060424306
curves,base,True,False,compatibility,0.24917451761185977,0.22703877198581107,0.27065188389981637,0.8480138147364154,0.4786364284263232
curves+delta,delta,True,False,retrieval,0.25153808881162254,0.2288002233887809,0.2741718280817913,0.8654099268371207,0.4583657131779464
curves+delta,delta,True,False,compatibility,0.26160642911370235,0.2398410977167051,0.2846920723769054,0.8641598258231306,0.4991268982554927
curves+trajectory,base,True,True,retrieval,0.24478703766722387,0.2241859317014898,0.26708194597608326,0.8579826232198242,0.47750619347778916
curves+trajectory,base,True,True,compatibility,0.24032587948754097,0.21858167885498864,0.26255451063822505,0.8523398267057583,0.4872264368968816
