plant,r10_rank_n,r50_rank_n,hit_rank_n,r10_rank_n_tax_ldelta,r50_rank_n_tax_ldelta,hit_rank_n_tax_ldelta,r10_gbm_geo_tuned,r50_gbm_geo_tuned,hit_gbm_geo_tuned,r10_twotower_none,r50_twotower_none,hit_twotower_none,r10_twotower_bioclip,r50_twotower_bioclip,hit_twotower_bioclip,r10_twotower_bioclip2,r50_twotower_bioclip2,hit_twotower_bioclip2,degree,range_size,genus,genus_seen,deg_q,range_q
Abutilon hypoleucum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Abutilon,True,Q1 low,narrow
Abutilon theophrasti,0.0666666666666666,0.1333333333333333,1.0,0.1333333333333333,0.2,1.0,0.1333333333333333,0.2,1.0,0.1333333333333333,0.2,1.0,0.1333333333333333,0.2666666666666666,1.0,0.1333333333333333,0.2666666666666666,1.0,15,234.0,Abutilon,True,Q3,wide
Acer pensylvanicum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,195.0,Acer,True,Q1 low,wide
Achyronychia cooperi,0.75,1.0,1.0,0.0,0.25,0.0,0.25,1.0,1.0,0.0,0.25,0.0,0.25,1.0,1.0,0.5,0.75,1.0,4,15.0,Achyronychia,False,Q2,narrow
Acmella repens,0.1052631578947368,0.3684210526315789,1.0,0.2105263157894736,0.631578947368421,1.0,0.2631578947368421,0.7894736842105263,1.0,0.2631578947368421,0.631578947368421,1.0,0.3157894736842105,0.6842105263157895,1.0,0.3684210526315789,0.6842105263157895,1.0,19,50.0,Acmella,False,Q4 high,R3
Acmispon maritimus,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,24.0,Acmispon,True,Q1 low,R2
Adelinia grandis,0.1875,0.5,1.0,0.25,0.625,1.0,0.25,0.5625,1.0,0.125,0.5625,1.0,0.125,0.375,1.0,0.1875,0.75,1.0,16,88.0,Adelinia,False,Q3,R3
Adenostoma sparsifolium,0.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2,12.0,Adenostoma,True,Q1 low,narrow
Aesculus californica,0.1521739130434782,0.4565217391304347,1.0,0.0434782608695652,0.1521739130434782,1.0,0.108695652173913,0.4130434782608695,1.0,0.0869565217391304,0.3478260869565217,1.0,0.0652173913043478,0.391304347826087,1.0,0.0869565217391304,0.391304347826087,1.0,46,70.0,Aesculus,True,Q4 high,R3
Ageratina adenophora,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17.0,Ageratina,True,Q1 low,narrow
Ageratina aromatica,0.0,0.1538461538461538,0.0,0.0,0.3076923076923077,0.0,0.0769230769230769,0.3846153846153846,1.0,0.0769230769230769,0.3846153846153846,1.0,0.1538461538461538,0.2307692307692307,1.0,0.0769230769230769,0.3076923076923077,1.0,13,35.0,Ageratina,True,Q3,R2
Agrimonia parviflora,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,91.0,Agrimonia,True,Q1 low,R3
Allium geyeri,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,37.0,Allium,True,Q1 low,R2
Amaranthus palmeri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,22.0,Amaranthus,False,Q1 low,R2
Ambrosia ambrosioides,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,2,23.0,Ambrosia,True,Q1 low,R2
Ambrosia psilostachya,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,5,77.0,Ambrosia,True,Q2,R3
Amelanchier laevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28.0,Amelanchier,True,Q2,R2
Amsonia tomentosa,0.5,0.5,1.0,0.25,0.75,1.0,0.5,0.75,1.0,0.25,1.0,1.0,0.25,0.75,1.0,0.5,1.0,1.0,4,18.0,Amsonia,True,Q2,narrow
Angelica capitellata,0.0,0.3333333333333333,0.0,0.0476190476190476,0.1428571428571428,1.0,0.3333333333333333,0.5714285714285714,1.0,0.1428571428571428,0.5714285714285714,1.0,0.2857142857142857,0.7142857142857143,1.0,0.238095238095238,0.6190476190476191,1.0,21,31.0,Angelica,True,Q4 high,R2
Anisocarpus madioides,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,32.0,Anisocarpus,False,Q1 low,R2
Anisocoma acaulis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2,35.0,Anisocoma,False,Q1 low,R2
Anthriscus sylvestris,0.054054054054054,0.1081081081081081,1.0,0.027027027027027,0.1621621621621621,1.0,0.054054054054054,0.1891891891891892,1.0,0.027027027027027,0.1891891891891892,1.0,0.081081081081081,0.2432432432432432,1.0,0.054054054054054,0.1351351351351351,1.0,37,63.0,Anthriscus,False,Q4 high,R3
Apios americana,0.0606060606060606,0.1515151515151515,1.0,0.1212121212121212,0.2121212121212121,1.0,0.0909090909090909,0.2121212121212121,1.0,0.1212121212121212,0.1515151515151515,1.0,0.1212121212121212,0.2121212121212121,1.0,0.0909090909090909,0.1818181818181818,1.0,33,648.0,Apios,False,Q4 high,wide
Arabidopsis thaliana,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,100.0,Arabidopsis,True,Q1 low,R3
Aralia racemosa,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0.0,0.1428571428571428,0.0,0.0,0.2142857142857142,0.0,14,256.0,Aralia,True,Q3,wide
Arctostaphylos bakeri,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3.0,Arctostaphylos,True,Q1 low,narrow
Arctostaphylos hookeri,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,3,2.0,Arctostaphylos,True,Q2,narrow
Arctostaphylos manzanita,0.1428571428571428,0.7142857142857143,1.0,0.2142857142857142,0.4285714285714285,1.0,0.2142857142857142,0.5,1.0,0.1428571428571428,0.6428571428571429,1.0,0.1428571428571428,0.6428571428571429,1.0,0.2142857142857142,0.7142857142857143,1.0,14,33.0,Arctostaphylos,True,Q3,R2
Arctostaphylos nevadensis,0.0,0.5,0.0,0.25,0.5,1.0,0.5,0.5,1.0,0.25,0.5,1.0,0.5,0.75,1.0,0.5,0.5,1.0,4,83.0,Arctostaphylos,True,Q2,R3
Arnoglossum atriplicifolium,0.0256410256410256,0.1282051282051282,1.0,0.1025641025641025,0.2307692307692307,1.0,0.0769230769230769,0.2564102564102564,1.0,0.0769230769230769,0.1794871794871795,1.0,0.1282051282051282,0.2564102564102564,1.0,0.1025641025641025,0.2564102564102564,1.0,39,178.0,Arnoglossum,True,Q4 high,wide
Arnoglossum ovatum,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,18.0,Arnoglossum,True,Q1 low,narrow
Arnoglossum plantagineum,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,93.0,Arnoglossum,True,Q1 low,R3
