plant,recall@10,recall@20,ndcg@10,ndcg@20,rank_first
Abutilon hypoleucum,0.0,0.0,0.0,0.0,5663.0
Abutilon theophrasti,0.06666666666666667,0.06666666666666667,0.13886244387355456,0.10764243204553911,2.0
Acer pensylvanicum,0.0,0.0,0.0,0.0,976.0
Achyronychia cooperi,0.25,0.25,0.13905617951077562,0.13905617951077562,6.0
Acmella repens,0.10526315789473684,0.21052631578947367,0.2122263659729146,0.21529599424873905,2.0
Acmispon maritimus,0.0,0.0,0.0,0.0,925.0
Adelinia grandis,0.1875,0.1875,0.3436966913921455,0.2557495389789405,2.0
Adenostoma sparsifolium,0.5,0.5,0.38685280723454163,0.38685280723454163,2.0
Aesculus californica,0.10869565217391304,0.1956521739130435,0.6274092458891773,0.5516310382142628,1.0
Ageratina adenophora,0.0,0.5,0.0,0.1710330840677181,11.0
Ageratina aromatica,0.0,0.0,0.0,0.0,26.0
Agrimonia parviflora,0.0,0.0,0.0,0.0,21.0
Allium geyeri,0.0,0.0,0.0,0.0,320.0
Amaranthus palmeri,0.0,0.0,0.0,0.0,292.0
Ambrosia ambrosioides,0.5,0.5,0.38685280723454163,0.38685280723454163,2.0
Ambrosia psilostachya,0.0,0.0,0.0,0.0,121.0
Amelanchier laevis,0.0,0.0,0.0,0.0,2144.0
Amsonia tomentosa,0.5,0.75,0.33424620450682646,0.42614514787548097,3.0
Angelica capitellata,0.09523809523809523,0.09523809523809523,0.35895421017163476,0.23165732683700074,1.0
Anisocarpus madioides,0.0,1.0,0.0,0.23540891336663824,18.0
Anisocoma acaulis,0.0,0.0,0.0,0.0,4495.0
Anthriscus sylvestris,0.05405405405405406,0.08108108108108109,0.23365080824310536,0.18630061248978963,2.0
Apios americana,0.030303030303030304,0.030303030303030304,0.13886244387355456,0.08961728720334346,2.0
Arabidopsis thaliana,0.0,0.0,0.0,0.0,520.0
Aralia racemosa,0.0,0.0,0.0,0.0,207.0
Arctostaphylos bakeri,0.0,0.0,0.0,0.0,665.0
Arctostaphylos hookeri,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.23463936301137822,3.0
Arctostaphylos manzanita,0.14285714285714285,0.35714285714285715,0.20483424751859092,0.3079878603471495,3.0
Arctostaphylos nevadensis,0.0,0.0,0.0,0.0,48.0
Arnoglossum atriplicifolium,0.0,0.0,0.0,0.0,25.0
Arnoglossum ovatum,0.0,1.0,0.0,0.26264953503719357,13.0
Arnoglossum plantagineum,0.0,0.0,0.0,0.0,52.0
Asclepias californica,0.16666666666666666,0.3333333333333333,0.30260241349881345,0.3820807967054094,1.0
Asclepias incarnata,0.03501945525291829,0.0622568093385214,0.9216017310213247,0.8421681067031216,1.0
Asclepias linaria,0.0,0.0,0.0,0.0,273.0
