plant,recall@10,recall@20,ndcg@10,ndcg@20,rank_first
Abutilon hypoleucum,0.0,0.0,0.0,0.0,314.0
Abutilon theophrasti,0.13333333333333333,0.13333333333333333,0.29849003527675555,0.2313814480163251,1.0
Acer pensylvanicum,0.0,0.0,0.0,0.0,56.0
Achyronychia cooperi,0.25,0.75,0.24630238874073,0.45279116230698757,2.0
Acmella repens,0.2631578947368421,0.3684210526315789,0.5391870169376467,0.4322108379680272,1.0
Acmispon maritimus,1.0,1.0,0.6309297535714575,0.6309297535714575,2.0
Adelinia grandis,0.25,0.375,0.46582309483828666,0.42684375403756397,1.0
Adenostoma sparsifolium,0.5,1.0,0.38685280723454163,0.5287217091005357,2.0
Aesculus californica,0.10869565217391304,0.2391304347826087,0.611019150498302,0.6037000898591688,1.0
Ageratina adenophora,0.0,0.0,0.0,0.0,157.0
Ageratina aromatica,0.07692307692307693,0.15384615384615385,0.2200917662980802,0.2388141577084763,1.0
Agrimonia parviflora,0.0,0.0,0.0,0.0,74.0
Allium geyeri,0.0,0.0,0.0,0.0,26.0
Amaranthus palmeri,0.0,0.0,0.0,0.0,580.0
Ambrosia ambrosioides,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Ambrosia psilostachya,0.0,0.0,0.0,0.0,41.0
Amelanchier laevis,0.0,0.0,0.0,0.0,2853.0
Amsonia tomentosa,0.5,0.5,0.29127873064148246,0.29127873064148246,4.0
Angelica capitellata,0.3333333333333333,0.5714285714285714,0.8006937664098821,0.6971852709095223,1.0
Anisocarpus madioides,0.0,1.0,0.0,0.23137821315975915,19.0
Anisocoma acaulis,0.0,0.0,0.0,0.0,85.0
Anthriscus sylvestris,0.05405405405405406,0.08108108108108109,0.29345568839744024,0.22777135767692594,1.0
Apios americana,0.09090909090909091,0.15151515151515152,0.4085359184257956,0.3354778719751994,1.0
Arabidopsis thaliana,0.0,0.0,0.0,0.0,106.0
Aralia racemosa,0.0,0.07142857142857142,0.0,0.04455257454866285,15.0
Arctostaphylos bakeri,1.0,1.0,0.6509209298071326,0.6509209298071326,2.0
Arctostaphylos hookeri,0.3333333333333333,0.6666666666666666,0.23463936301137822,0.35195904451706733,3.0
Arctostaphylos manzanita,0.21428571428571427,0.35714285714285715,0.4373524791503101,0.44141789247866176,1.0
Arctostaphylos nevadensis,0.5,0.5,0.3191471544989227,0.3191471544989227,4.0
Arnoglossum atriplicifolium,0.07692307692307693,0.15384615384615385,0.400023248309252,0.36657515413752706,1.0
Arnoglossum ovatum,0.0,1.0,0.0,0.27023815442731974,12.0
Arnoglossum plantagineum,0.0,0.0,0.0,0.0,82.0
Asclepias californica,0.16666666666666666,0.6666666666666666,0.09546043308946733,0.319513624830695,8.0
Asclepias incarnata,0.03501945525291829,0.06614785992217899,0.9216017310213247,0.8774449588212474,1.0
Asclepias linaria,0.3333333333333333,0.3333333333333333,0.16716045496620227,0.16716045496620227,6.0
Asclepias speciosa,0.08433734939759036,0.18072289156626506,0.7027284035579431,0.7361912598276003,1.0
Asclepias tomentosa,0.6666666666666666,0.6666666666666666,0.3152014104491349,0.3152014104491349,6.0
Asclepias viridis,0.3888888888888889,0.3888888888888889,0.7471589728148226,0.5158255109540277,1.0
Asimina obovata,0.0,0.0,0.0,0.0,191.0
Asimina reticulata,0.0,0.0,0.0,0.0,51.0
Asparagus officinalis,0.17647058823529413,0.23529411764705882,0.5252098581198154,0.41081959141676094,2.0
Astragalus alpinus,0.25,0.375,0.2574406717600568,0.323875955033033,2.0
Astragalus cicer,0.5555555555555556,0.6666666666666666,0.4944492952827405,0.5519533163694706,2.0
Astragalus crotalariae,0.0,1.0,0.0,0.27023815442731974,12.0
Astragalus douglasii,0.15384615384615385,0.23076923076923078,0.1396181455537491,0.16624771646171535,7.0
Astragalus flexuosus,0.3333333333333333,0.6666666666666666,0.23463936301137822,0.3655413531795754,3.0
Astragalus whitneyi,0.25,0.5,0.13905617951077562,0.232674182198372,6.0
Atriplex canescens,0.16666666666666666,0.4166666666666667,0.35895421017163476,0.4666760174811693,1.0
Aureolaria pectinata,0.0,0.0,0.0,0.0,85.0
Baccharis sergiloides,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.46927872602275644,1.0
Balsamorhiza hookeri,0.6,0.6,0.3896266367619439,0.3896266367619439,3.0
Baptisia aberrans,0.0,0.0,0.0,0.0,2175.0
Baptisia sphaerocarpa,0.3,0.4,0.27584715417186634,0.3259555013411019,2.0
Barbarea orthoceras,0.045454545454545456,0.09090909090909091,0.13886244387355456,0.1269240375697881,2.0
Bebbia juncea,0.17543859649122806,0.2807017543859649,1.0,0.8555717189370436,1.0
Berberis aquifolium,0.13333333333333333,0.2,0.7222954974312067,0.5785837573124074,1.0
Berberis trifoliolata,0.14285714285714285,0.42857142857142855,0.13743816645714543,0.27504361355980383,3.0
Berlandiera lyrata,0.15384615384615385,0.38461538461538464,0.17947710508581738,0.28653414062040444,3.0
Bidens aristosa,0.16279069767441862,0.23255813953488372,0.7909506325094736,0.6204940397656902,1.0
Bidens polylepis,0.17647058823529413,0.23529411764705882,0.37148910739409025,0.303774453325401,1.0
Boerhavia wrightii,1.0,1.0,0.3010299956639812,0.3010299956639812,9.0
