plant,recall@10,recall@20,ndcg@10,ndcg@20,rank_first
Abutilon hypoleucum,0.0,0.0,0.0,0.0,272.0
Abutilon theophrasti,0.06666666666666667,0.06666666666666667,0.13886244387355456,0.10764243204553911,2.0
Acer pensylvanicum,0.0,0.0,0.0,0.0,569.0
Achyronychia cooperi,0.75,0.75,0.4761627026161036,0.4761627026161036,3.0
Acmella repens,0.10526315789473684,0.15789473684210525,0.24890832702259466,0.19942465058113665,2.0
Acmispon maritimus,0.0,0.0,0.0,0.0,286.0
Adelinia grandis,0.1875,0.25,0.2090493674905264,0.19649991690910215,7.0
Adenostoma sparsifolium,0.0,0.5,0.0,0.1710330840677181,11.0
Aesculus californica,0.15217391304347827,0.30434782608695654,0.7183424120903082,0.7165492737946708,1.0
Ageratina adenophora,0.0,0.0,0.0,0.0,59.0
Ageratina aromatica,0.15384615384615385,0.15384615384615385,0.3301376494471203,0.280091647388022,1.0
Agrimonia parviflora,0.0,0.0,0.0,0.0,32.0
Allium geyeri,0.0,1.0,0.0,0.3153733984504394,11.0
Amaranthus palmeri,0.0,0.0,0.0,0.0,278.0
Ambrosia ambrosioides,0.0,0.5,0.0,0.16569576576522954,12.0
Ambrosia psilostachya,0.0,0.0,0.0,0.0,31.0
Amelanchier laevis,0.0,0.0,0.0,0.0,1653.0
Amsonia tomentosa,0.5,0.5,0.5413996682199069,0.5413996682199069,1.0
Angelica capitellata,0.0,0.0,0.0,0.0,24.0
Anisocarpus madioides,0.0,0.0,0.0,0.0,50.0
Anisocoma acaulis,0.0,0.0,0.0,0.0,73.0
Anthriscus sylvestris,0.05405405405405406,0.05405405405405406,0.1951890007906611,0.12596860788881453,3.0
Apios americana,0.06060606060606061,0.09090909090909091,0.17318663334822615,0.15015363651803182,4.0
Arabidopsis thaliana,0.0,0.0,0.0,0.0,1324.0
Aralia racemosa,0.0,0.0,0.0,0.0,57.0
Arctostaphylos bakeri,0.0,0.0,0.0,0.0,147.0
Arctostaphylos hookeri,0.0,0.0,0.0,0.0,38.0
Arctostaphylos manzanita,0.14285714285714285,0.5,0.16421958630632805,0.35612946658834654,4.0
Arctostaphylos nevadensis,0.0,0.25,0.0,0.09759501249802542,15.0
Arnoglossum atriplicifolium,0.02564102564102564,0.02564102564102564,0.07336392209936006,0.04734667987788576,7.0
Arnoglossum ovatum,0.0,0.0,0.0,0.0,50.0
Arnoglossum plantagineum,0.0,0.0,0.0,0.0,46.0
Asclepias californica,0.3333333333333333,0.5,0.2214161691338287,0.29886968519566803,4.0
Asclepias incarnata,0.03501945525291829,0.06614785992217899,0.9337457765456111,0.886822427240447,1.0
Asclepias linaria,0.3333333333333333,0.3333333333333333,0.1480409554829326,0.1480409554829326,8.0
