plant,recall@10,recall@20,ndcg@10,ndcg@20,rank_first
Abutilon hypoleucum,0.0,0.0,0.0,0.0,442.0
Abutilon theophrasti,0.13333333333333333,0.13333333333333333,0.14279514403613736,0.11069095544897115,7.0
Acer pensylvanicum,0.0,0.0,0.0,0.0,473.0
Achyronychia cooperi,0.0,0.25,0.0,0.09361800268759637,17.0
Acmella repens,0.21052631578947367,0.47368421052631576,0.3063365306564337,0.3960808092488374,5.0
Acmispon maritimus,1.0,1.0,0.38685280723454163,0.38685280723454163,5.0
Adelinia grandis,0.25,0.3125,0.542364015420035,0.4436479326384578,1.0
Adenostoma sparsifolium,0.5,0.5,0.2640681225725909,0.2640681225725909,4.0
Aesculus californica,0.043478260869565216,0.06521739130434782,0.20511666732794362,0.1671257724172436,2.0
Ageratina adenophora,0.0,0.0,0.0,0.0,519.0
Ageratina aromatica,0.0,0.0,0.0,0.0,23.0
Agrimonia parviflora,0.0,0.0,0.0,0.0,52.0
Allium geyeri,0.0,0.0,0.0,0.0,189.0
Amaranthus palmeri,0.0,0.0,0.0,0.0,798.0
Ambrosia ambrosioides,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Ambrosia psilostachya,0.0,0.0,0.0,0.0,37.0
Amelanchier laevis,0.0,0.0,0.0,0.0,3416.0
Amsonia tomentosa,0.25,0.25,0.11751610475642714,0.11751610475642714,9.0
Angelica capitellata,0.047619047619047616,0.09523809523809523,0.2200917662980802,0.17490501020123428,1.0
Anisocarpus madioides,1.0,1.0,0.43067655807339306,0.43067655807339306,4.0
Anisocoma acaulis,0.0,0.0,0.0,0.0,52.0
Anthriscus sylvestris,0.02702702702702703,0.05405405405405406,0.06625422345438904,0.08006506288147622,9.0
Apios americana,0.12121212121212122,0.12121212121212122,0.5224955967919311,0.33720159788360365,1.0
Arabidopsis thaliana,1.0,1.0,1.0,1.0,1.0
Aralia racemosa,0.0,0.07142857142857142,0.0,0.04359924606437218,16.0
Arctostaphylos bakeri,1.0,1.0,0.8772153153380493,0.8772153153380493,1.0
Arctostaphylos hookeri,0.3333333333333333,0.6666666666666666,0.46927872602275644,0.5865984075284455,1.0
Arctostaphylos manzanita,0.21428571428571427,0.35714285714285715,0.400023248309252,0.41721220175721696,1.0
Arctostaphylos nevadensis,0.25,0.5,0.3903800499921017,0.49291318861032357,1.0
Arnoglossum atriplicifolium,0.10256410256410256,0.15384615384615385,0.49435723575344837,0.39041174105261667,1.0
Arnoglossum ovatum,0.0,0.0,0.0,0.0,30.0
Arnoglossum plantagineum,0.0,0.5,0.0,0.14186890186599416,19.0
Asclepias californica,0.3333333333333333,0.5,0.41966500663677697,0.4991433898433729,1.0
Asclepias incarnata,0.038910505836575876,0.07003891050583658,1.0,0.932499536359304,1.0
Asclepias linaria,0.3333333333333333,0.3333333333333333,0.20210734650054757,0.20210734650054757,4.0
Asclepias speciosa,0.07228915662650602,0.14457831325301204,0.7222954974312067,0.676952925420702,1.0
Asclepias tomentosa,0.6666666666666666,0.6666666666666666,0.6508205185601091,0.6508205185601091,1.0
Asclepias viridis,0.3333333333333333,0.4444444444444444,0.7222954974312067,0.5821069040118462,1.0
Asimina obovata,0.0,0.0,0.0,0.0,21.0
Asimina reticulata,0.5,0.5,0.6366824387328317,0.6366824387328317,1.0
Asparagus officinalis,0.058823529411764705,0.11764705882352941,0.29849003527675555,0.26459508081240973,1.0
Astragalus alpinus,0.125,0.25,0.1089364926177559,0.1753717758907321,4.0
Astragalus cicer,0.4444444444444444,0.4444444444444444,0.5917935853108561,0.5917935853108561,1.0
Astragalus crotalariae,0.0,0.0,0.0,0.0,145.0
Astragalus douglasii,0.0,0.07692307692307693,0.0,0.044779645883501924,17.0
Astragalus flexuosus,0.6666666666666666,0.6666666666666666,0.6364391809889587,0.6364391809889587,1.0
Astragalus whitneyi,0.5,0.75,0.6366824387328317,0.7270078771532217,1.0
Atriplex canescens,0.4166666666666667,0.5,0.5680035776621611,0.5521852540214143,1.0
Aureolaria pectinata,0.0,0.0,0.0,0.0,61.0
Baccharis sergiloides,0.3333333333333333,0.3333333333333333,0.20210734650054757,0.20210734650054757,4.0
Balsamorhiza hookeri,0.2,0.2,0.1208113026994942,0.1208113026994942,6.0
Baptisia aberrans,0.0,0.0,0.0,0.0,24.0
Baptisia sphaerocarpa,0.3,0.4,0.39375843764607205,0.4551514832508186,1.0
Barbarea orthoceras,0.0,0.0,0.0,0.0,23.0
Bebbia juncea,0.14035087719298245,0.22807017543859648,0.8415908474314977,0.7222713940625761,1.0
Berberis aquifolium,0.1111111111111111,0.13333333333333333,0.6136525857537394,0.4294688335281916,1.0
Berberis trifoliolata,0.14285714285714285,0.42857142857142855,0.07945707943276742,0.2220100237051419,10.0
Berlandiera lyrata,0.07692307692307693,0.15384615384615385,0.06625422345438904,0.10099030414932433,9.0
Bidens aristosa,0.16279069767441862,0.27906976744186046,0.7538142945344394,0.664089794339437,1.0
Bidens polylepis,0.29411764705882354,0.47058823529411764,0.5619107241149829,0.519571487779947,1.0
Boerhavia wrightii,1.0,1.0,1.0,1.0,1.0
Boltonia diffusa,0.0,0.0,0.0,0.0,93.0
Borodinia laevigata,1.0,1.0,1.0,1.0,1.0
Bouteloua curtipendula,0.0,1.0,0.0,0.2559580248098155,14.0
Bouteloua dactyloides,0.0,0.0,0.0,0.0,67.0
Bouteloua hirsuta,0.0,1.0,0.0,0.23137821315975915,19.0
Brasenia schreberi,0.0,0.0,0.0,0.0,799.0
Brassica tournefortii,0.07142857142857142,0.14285714285714285,0.2200917662980802,0.22094734937255295,1.0
Brickellia desertorum,0.0,0.0,0.0,0.0,58.0
Bromus inermis,0.0,0.25,0.0,0.10549558423511038,12.0
Buchnera americana,0.0,0.0,0.0,0.0,1365.0
Bursera microphylla,0.0,0.0,0.0,0.0,228.0
Callicarpa americana,0.0625,0.0625,0.2200917662980802,0.16377337685678137,1.0
Callirhoe leiocarpa,0.3333333333333333,0.3333333333333333,0.20210734650054757,0.20210734650054757,4.0
Calochortus elegans,0.0,0.0,0.0,0.0,217.0
Calochortus eurycarpus,0.5,0.5,0.19342640361727081,0.19342640361727081,8.0
Calochortus invenustus,0.5,0.5,0.6366824387328317,0.6366824387328317,1.0
Calochortus palmeri,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.7653606369886217,1.0
Calochortus subalpinus,1.0,1.0,0.2890648263178879,0.2890648263178879,10.0
Calochortus superbus,0.5,0.5,0.38685280723454163,0.38685280723454163,2.0
Calochortus uniflorus,1.0,1.0,0.6309297535714575,0.6309297535714575,2.0
Calystegia purpurata,0.7142857142857143,0.7142857142857143,0.7245561880513813,0.7245561880513813,1.0
Camassia scilloides,0.0625,0.15625,0.314880130667631,0.30718478626667356,1.0
Camissoniopsis bistorta,0.1111111111111111,0.3333333333333333,0.1012286082123002,0.2111083398635574,4.0
Cardamine diphylla,0.42857142857142855,0.42857142857142855,0.3428875067876792,0.3428875067876792,2.0
Cardamine nuttallii,0.0,0.0,0.0,0.0,454.0
Cardiospermum halicacabum,0.0,0.0,0.0,0.0,1925.0
Carica papaya,0.0,0.0,0.0,0.0,698.0
Cartrema americana,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Castanea dentata,0.0,0.0,0.0,0.0,33.0
Castanea mollissima,0.0,0.0,0.0,0.0,115.0
Castilleja attenuata,0.0,1.0,0.0,0.26264953503719357,13.0
Castilleja densiflora,0.6666666666666666,0.6666666666666666,0.4632423659320675,0.4632423659320675,2.0
Castilleja rhexiifolia,0.6,0.8,0.6843515475204855,0.7656863929089052,1.0
Ceanothus americanus,0.0,0.0,0.0,0.0,29.0
Ceanothus verrucosus,0.6666666666666666,0.6666666666666666,0.5307212739772434,0.5307212739772434,2.0
Cenchrus setaceus,0.0,0.0,0.0,0.0,1279.0
Centaurea cyanus,0.09836065573770492,0.19672131147540983,0.6555476069276601,0.6307484658978957,1.0
Centromadia pungens,0.46153846153846156,0.6923076923076923,0.7034066032439749,0.7338046108818006,1.0
Cerastium fontanum,0.2857142857142857,0.2857142857142857,0.22018418776246546,0.22018418776246546,3.0
Cerastium velutinum,0.25,0.25,0.13012668333070054,0.13012668333070054,7.0
Ceratiola ericoides,0.0,0.0,0.0,0.0,198.0
Cercis occidentalis,0.15384615384615385,0.15384615384615385,0.24890832702259466,0.21117598517197286,2.0
Cercocarpus montanus,0.0,0.0,0.0,0.0,664.0
Chaenactis glabriuscula,0.11904761904761904,0.21428571428571427,0.6203974344166849,0.5441657349950787,1.0
Chamaenerion angustifolium,0.041666666666666664,0.07291666666666667,0.5321408435198609,0.4444789598408087,1.0
Chimaphila maculata,0.5,0.5,0.3065735963827292,0.3065735963827292,3.0
Chimaphila umbellata,0.3333333333333333,0.5555555555555556,0.2562219363466141,0.3781530872234282,3.0
Chiococca alba,0.0,0.0,0.0,0.0,52.0
Chorispora tenella,0.6666666666666666,0.6666666666666666,0.370291336443826,0.370291336443826,3.0
Chorizanthe rigida,1.0,1.0,0.38685280723454163,0.38685280723454163,5.0
Chromolaena odorata,0.08536585365853659,0.18292682926829268,0.7506372960520511,0.7701219516551826,1.0
Chrysobalanus icaco,0.1,0.25,0.20483424751859092,0.23952547465337118,3.0
Chrysolepis chrysophylla,0.5,0.5,0.38685280723454163,0.38685280723454163,2.0
Chrysothamnus viscidiflorus,0.06976744186046512,0.11627906976744186,0.44409732781325584,0.3613468410629083,1.0
Chylismia cardiophylla,0.6666666666666666,0.6666666666666666,0.4632423659320675,0.4632423659320675,2.0
Cirsium andersonii,0.18181818181818182,0.2727272727272727,0.14279514403613736,0.18426340194454927,7.0
Cirsium occidentale,0.05,0.1,0.20829366581033185,0.20192639444571117,2.0
Cirsium remotifolium,0.3333333333333333,1.0,0.15642624200758548,0.3870142927647342,7.0
Cirsium undulatum,0.10204081632653061,0.22448979591836735,0.36745852005902896,0.4445514185222533,4.0
Clarkia cylindrica,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2960819109658652,2.0
Clarkia rhomboidea,0.5,0.5,0.2811463015585058,0.2811463015585058,5.0
Claytonia gypsophiloides,0.0,0.0,0.0,0.0,109.0
Claytonia perfoliata,0.0,0.0,0.0,0.0,36.0
Claytonia sibirica,0.0,0.0,0.0,0.0,43.0
Clematis virginiana,0.03597122302158273,0.06474820143884892,0.6489315753318466,0.5602327890203675,1.0
Cliftonia monophylla,0.0,0.0,0.0,0.0,573.0
Clinopodium chandleri,0.0,0.0,0.0,0.0,110.0
Cochemiea dioica,0.6666666666666666,0.6666666666666666,0.3228087653971817,0.3228087653971817,5.0
Collinsia verna,0.04,0.08,0.1100458831490401,0.11064108687264425,3.0
Colocasia esculenta,0.0,0.0,0.0,0.0,32.0
Comarum palustre,0.0,0.0,0.0,0.0,28.0
Commelina diffusa,0.3333333333333333,0.3333333333333333,0.16716045496620227,0.16716045496620227,6.0
Comptonia peregrina,0.0,0.0,0.0,0.0,26.0
Conium maculatum,0.09375,0.140625,0.727329844310522,0.5847073886661073,1.0
Cordylanthus rigidus,0.3,0.3,0.4152807670887413,0.4152807670887413,1.0
Coreopsis leavenworthii,0.0,0.13333333333333333,0.0,0.08494776343138058,12.0
Cornus foemina,0.4,0.4,0.38356636737133565,0.38356636737133565,2.0
Corydalis aurea,0.0,0.0,0.0,0.0,135.0
Crataegus crus-galli,0.15789473684210525,0.15789473684210525,0.39956887138389763,0.26648641843870136,1.0
Crotalaria rotundifolia,0.5,0.5,0.38685280723454163,0.38685280723454163,2.0
Croton michauxii,0.0,0.0,0.0,0.0,1018.0
Cucumis melo,0.043478260869565216,0.08695652173913043,0.08514311764162101,0.0913048760605247,5.0
Cydonia oblonga,0.0,0.5,0.0,0.14434031438272124,18.0
Cylindropuntia echinocarpa,0.3333333333333333,0.8333333333333334,0.26836379988737025,0.49168178094062964,3.0
Cynoglossum officinale,0.21212121212121213,0.3333333333333333,0.7453016244178956,0.6271424091318412,1.0
Delphinium treleasei,0.0,0.0,0.0,0.0,22.0
Delphinium variegatum,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.46927872602275644,1.0
Desmodium canadense,0.07142857142857142,0.19047619047619047,0.4373524791503101,0.4562814823748742,1.0
Desmodium sessilifolium,0.21428571428571427,0.35714285714285715,0.4373524791503101,0.44588673490053443,1.0
Diapensia lapponica,0.0,0.0,0.0,0.0,189.0
Dicentra eximia,0.5,0.6666666666666666,0.5806020001118019,0.6243381453686674,2.0
Dichanthelium clandestinum,0.0,0.0,0.0,0.0,29.0
Dichelostemma volubile,1.0,1.0,0.43067655807339306,0.43067655807339306,4.0
Dieteria canescens,0.23529411764705882,0.4117647058823529,0.4729327934832576,0.46251633240048856,1.0
Diodia virginiana,0.6666666666666666,0.6666666666666666,0.35853358850813305,0.35853358850813305,4.0
Diospyros virginiana,0.0,0.045454545454545456,0.0,0.03286497056757699,19.0
Diplacus aurantiacus,0.1111111111111111,0.2222222222222222,0.08372491399919348,0.13723779268950134,6.0
Diplacus brevipes,0.3333333333333333,0.6666666666666666,0.13565197343244778,0.2529716549381369,10.0
Dipterostemon capitatus,0.06666666666666667,0.2,0.2200917662980802,0.254440947488841,1.0
Dithyrea californica,1.0,1.0,0.3562071871080222,0.3562071871080222,6.0
Draba verna,0.0,0.0,0.0,0.0,32.0
Dryas hookeriana,0.0,0.0,0.0,0.0,1596.0
Dudleya edulis,0.6666666666666666,0.8333333333333334,0.5636382420621701,0.634873547406048,2.0
Dysphania ambrosioides,0.0,0.0,0.0,0.0,88.0
Echinocereus fendleri,1.0,1.0,0.6309297535714575,0.6309297535714575,2.0
Ehretia anacua,0.0,0.0,0.0,0.0,48.0
Elaeagnus angustifolia,0.2727272727272727,0.2727272727272727,0.21501812929496178,0.20258106097958423,5.0
Elephantopus tomentosus,0.09090909090909091,0.2727272727272727,0.09478836436955079,0.1911960724951433,4.0
Elymus virginicus,0.0,1.0,0.0,0.26264953503719357,13.0
Epilobium brachycarpum,0.25,0.25,0.3794140541514857,0.3794140541514857,1.0
Eremalche exilis,0.0,0.5,0.0,0.14186890186599416,19.0
Eremogone congesta,0.0,0.0,0.0,0.0,55.0
Ericameria cuneata,0.6,0.6,0.5922216874835863,0.5922216874835863,1.0
Ericameria parishii,0.3,0.3,0.4249260138166711,0.4249260138166711,1.0
Ericameria resinosa,0.0,0.0,0.0,0.0,2431.0
Erigeron divergens,0.0625,0.125,0.08514311764162101,0.10527530064402169,5.0
Erigeron speciosus,0.10909090909090909,0.16363636363636364,0.5645252544249328,0.4676103973989914,2.0
Eriocaulon compressum,0.0,0.0,0.0,0.0,1287.0
Eriodictyon angustifolium,0.0,0.0,0.0,0.0,38.0
Eriogonum gracile,0.5,0.5,0.28097267762005274,0.28097267762005274,4.0
Eriogonum incanum,0.0,0.0,0.0,0.0,174.0
Eriogonum plumatella,0.2,0.3,0.5321408435198609,0.41161398927323173,1.0
Erodium cicutarium,0.14285714285714285,0.2653061224489796,0.7788065869851875,0.7213014900787705,1.0
Eryngium aristulatum,0.0,0.0,0.0,0.0,28.0
Eryngium yuccifolium,0.0319634703196347,0.0684931506849315,0.7254521107352793,0.7448100514587547,1.0
Erythronium umbilicatum,0.2,0.3,0.17947710508581738,0.24087015069056392,3.0
Eubotrys racemosa,1.0,1.0,0.45749452618986164,0.45749452618986164,4.0
Eucalyptus globulus,0.4,0.4,0.32097939710179135,0.32097939710179135,2.0
Euonymus atropurpureus,0.0,0.07142857142857142,0.0,0.04455257454866285,15.0
Eupatorium capillifolium,0.125,0.125,0.18340980524840014,0.1364778140473178,3.0
Eupatorium leptophyllum,0.0,0.0,0.0,0.0,158.0
Euphorbia cyparissias,0.06060606060606061,0.06060606060606061,0.133052010135729,0.08586742298856079,8.0
Euphorbia oblongata,0.1111111111111111,0.1111111111111111,0.2350455494144854,0.2350455494144854,1.0
Euphorbia serpillifolia,0.0,0.0,0.0,0.0,225.0
Euploca polyphylla,0.0,0.0,0.0,0.0,63.0
Eurybia divaricata,0.09302325581395349,0.1744186046511628,0.8572048559638626,0.7992883174210378,1.0
Eurybia radulina,0.0,0.0,0.0,0.0,68.0
Eurybia schreberi,0.0,0.0,0.0,0.0,72.0
Eustoma exaltatum,1.0,1.0,1.0,1.0,1.0
Fallugia paradoxa,0.07142857142857142,0.07142857142857142,0.3301376494471203,0.21306005945048592,1.0
Forestiera segregata,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Fouquieria splendens,0.46153846153846156,0.5384615384615384,0.6719377023185356,0.6132825156667009,1.0
Fragaria chiloensis,0.23076923076923078,0.3076923076923077,0.2899773651602119,0.2907989594909649,3.0
Frasera albicaulis,0.5,0.5,0.586202141404402,0.586202141404402,1.0
Frasera fastigiata,0.3333333333333333,1.0,0.15642624200758548,0.3944913759263268,7.0
Frasera parryi,0.0,0.0,0.0,0.0,56.0
Fraxinus velutina,0.0,0.0,0.0,0.0,1136.0
Fumaria capreolata,1.0,1.0,0.3562071871080222,0.3562071871080222,6.0
Funastrum heterophyllum,0.2777777777777778,0.3333333333333333,0.5446757407423164,0.4170966379861373,1.0
Gaillardia pinnatifida,0.3333333333333333,0.4444444444444444,0.4309168405932232,0.4884208616799534,1.0
Galanthus nivalis,0.09090909090909091,0.2727272727272727,0.2200917662980802,0.31966651128113904,1.0
Galearis spectabilis,0.09523809523809523,0.09523809523809523,0.2122263659729146,0.1369639670812292,2.0
Galium aparine,0.047619047619047616,0.09523809523809523,0.13886244387355456,0.12305477858805695,2.0
