plant,recall@10,recall@20,ndcg@10,ndcg@20,rank_first
Abutilon hypoleucum,0.0,0.0,0.0,0.0,74.0
Abutilon theophrasti,0.13333333333333333,0.2,0.35895421017163476,0.3170942934796266,1.0
Acer pensylvanicum,0.0,0.0,0.0,0.0,133.0
Achyronychia cooperi,0.25,0.75,0.13905617951077562,0.32646181374213806,6.0
Acmella repens,0.3157894736842105,0.42105263157894735,0.6745711375739729,0.5260198064081136,1.0
Acmispon maritimus,0.0,0.0,0.0,0.0,27.0
Adelinia grandis,0.125,0.3125,0.35895421017163476,0.39564875558914964,1.0
Adenostoma sparsifolium,0.5,1.0,0.2640681225725909,0.4084084369553121,4.0
Aesculus californica,0.06521739130434782,0.1956521739130435,0.46900009332067494,0.5079345703502615,1.0
Ageratina adenophora,0.0,0.0,0.0,0.0,311.0
Ageratina aromatica,0.15384615384615385,0.15384615384615385,0.20483424751859092,0.17378315355746052,3.0
Agrimonia parviflora,0.0,0.0,0.0,0.0,92.0
Allium geyeri,0.0,0.0,0.0,0.0,58.0
Amaranthus palmeri,0.0,0.0,0.0,0.0,3048.0
Ambrosia ambrosioides,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Ambrosia psilostachya,0.0,0.2,0.0,0.08479005131840403,15.0
Amelanchier laevis,0.0,0.0,0.0,0.0,1208.0
Amsonia tomentosa,0.25,0.5,0.19519002499605084,0.29278503749407625,3.0
Angelica capitellata,0.2857142857142857,0.5238095238095238,0.6898286563534622,0.6231790840607674,1.0
Anisocarpus madioides,0.0,1.0,0.0,0.2559580248098155,14.0
Anisocoma acaulis,0.0,0.0,0.0,0.0,32.0
Anthriscus sylvestris,0.08108108108108109,0.10810810810810811,0.39639187290150935,0.2898813442215,1.0
Apios americana,0.12121212121212122,0.15151515151515152,0.5009732673492617,0.35882179910692114,1.0
Arabidopsis thaliana,1.0,1.0,0.6309297535714575,0.6309297535714575,2.0
Aralia racemosa,0.0,0.0,0.0,0.0,24.0
Arctostaphylos bakeri,1.0,1.0,0.6509209298071326,0.6509209298071326,2.0
Arctostaphylos hookeri,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2960819109658652,2.0
Arctostaphylos manzanita,0.14285714285714285,0.2857142857142857,0.23365080824310536,0.2819009739962806,2.0
Arctostaphylos nevadensis,0.5,0.5,0.5294362295028773,0.5294362295028773,1.0
Arnoglossum atriplicifolium,0.1282051282051282,0.15384615384615385,0.44202197604759996,0.31813152121044064,2.0
Arnoglossum ovatum,1.0,1.0,0.2890648263178879,0.2890648263178879,10.0
Arnoglossum plantagineum,0.0,0.5,0.0,0.1395953738647505,20.0
Asclepias californica,0.0,0.5,0.0,0.23382093212638808,12.0
Asclepias incarnata,0.023346303501945526,0.042801556420233464,0.7019727018777485,0.6276483694470688,1.0
Asclepias linaria,0.3333333333333333,0.3333333333333333,0.13565197343244778,0.13565197343244778,10.0
Asclepias speciosa,0.060240963855421686,0.14457831325301204,0.43305492900570197,0.5328263703685283,2.0
Asclepias tomentosa,0.3333333333333333,0.6666666666666666,0.14126697285982898,0.2498478459608625,9.0
Asclepias viridis,0.16666666666666666,0.3333333333333333,0.22716217481924805,0.27189866309735905,5.0
Asimina obovata,1.0,1.0,0.3010299956639812,0.3010299956639812,9.0
Asimina reticulata,0.25,0.75,0.19519002499605084,0.4032187478493831,3.0
Asparagus officinalis,0.11764705882352941,0.23529411764705882,0.4936790360674166,0.45751492389437365,1.0
Astragalus alpinus,0.25,0.375,0.1776461331976086,0.23952870255456524,5.0
Astragalus cicer,0.5555555555555556,0.6666666666666666,0.6287514853238875,0.6922697608040134,1.0
Astragalus crotalariae,0.0,0.0,0.0,0.0,63.0
Astragalus douglasii,0.0,0.15384615384615385,0.0,0.0944764111187806,14.0
Astragalus flexuosus,0.6666666666666666,0.6666666666666666,0.4525081529734507,0.4525081529734507,2.0
Astragalus whitneyi,0.5,0.5,0.3973220069685352,0.3973220069685352,2.0
Atriplex canescens,0.4166666666666667,0.4166666666666667,0.4710361549625274,0.4202414685064156,2.0
Aureolaria pectinata,0.0,0.0,0.0,0.0,230.0
Baccharis sergiloides,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2960819109658652,2.0
Balsamorhiza hookeri,0.4,0.4,0.23386470445736623,0.23386470445736623,6.0
Baptisia aberrans,0.0,0.0,0.0,0.0,28.0
Baptisia sphaerocarpa,0.5,0.6,0.4132054153230855,0.47459846092783214,3.0
Barbarea orthoceras,0.09090909090909091,0.13636363636363635,0.2122263659729146,0.17171413978009778,2.0
Bebbia juncea,0.17543859649122806,0.2631578947368421,1.0,0.8211834582933124,1.0
Berberis aquifolium,0.15555555555555556,0.28888888888888886,0.7670273914429266,0.7146500442625761,1.0
Berberis trifoliolata,0.0,0.42857142857142855,0.0,0.2051747484657749,11.0
Berlandiera lyrata,0.23076923076923078,0.38461538461538464,0.28669193478900723,0.33387124743076874,2.0
Bidens aristosa,0.16279069767441862,0.23255813953488372,0.791726719367984,0.6146625873541515,1.0
Bidens polylepis,0.11764705882352941,0.29411764705882354,0.2895229882348575,0.3341738352174332,1.0
Boerhavia wrightii,1.0,1.0,0.3562071871080222,0.3562071871080222,6.0
Boltonia diffusa,0.0,0.0,0.0,0.0,73.0
Borodinia laevigata,1.0,1.0,0.43067655807339306,0.43067655807339306,4.0
Bouteloua curtipendula,0.0,0.0,0.0,0.0,158.0
Bouteloua dactyloides,0.0,0.0,0.0,0.0,36.0
Bouteloua hirsuta,1.0,1.0,0.3562071871080222,0.3562071871080222,6.0
Brasenia schreberi,0.0,0.0,0.0,0.0,888.0
Brassica tournefortii,0.07142857142857142,0.35714285714285715,0.2200917662980802,0.3495613646054985,1.0
Brickellia desertorum,0.0,0.0,0.0,0.0,31.0
Bromus inermis,0.25,0.5,0.19519002499605084,0.29772316361427276,3.0
Buchnera americana,0.0,0.0,0.0,0.0,159.0
Bursera microphylla,1.0,1.0,0.3333333333333333,0.3333333333333333,7.0
Callicarpa americana,0.0625,0.125,0.2200917662980802,0.2010597022957046,1.0
Callirhoe leiocarpa,0.3333333333333333,0.3333333333333333,0.20210734650054757,0.20210734650054757,4.0
Calochortus elegans,0.0,0.0,0.0,0.0,125.0
Calochortus eurycarpus,0.5,0.5,0.21840743681816419,0.21840743681816419,6.0
Calochortus invenustus,0.5,0.75,0.5078961547485289,0.5982215931689188,1.0
Calochortus palmeri,0.6666666666666666,0.6666666666666666,0.6257049680303419,0.6257049680303419,1.0
Calochortus subalpinus,1.0,1.0,0.3562071871080222,0.3562071871080222,6.0
Calochortus superbus,1.0,1.0,0.46845052016107697,0.46845052016107697,4.0
Calochortus uniflorus,1.0,1.0,0.3333333333333333,0.3333333333333333,7.0
Calystegia purpurata,0.5714285714285714,0.5714285714285714,0.6773676006644395,0.6773676006644395,1.0
Camassia scilloides,0.21875,0.25,0.7191184989488185,0.4988457715939612,1.0
Camissoniopsis bistorta,0.3333333333333333,0.4444444444444444,0.24880155990324684,0.30896335447171647,5.0
Cardamine diphylla,0.2857142857142857,0.42857142857142855,0.3932591258696538,0.4591778972670327,1.0
Cardamine nuttallii,0.0,0.0,0.0,0.0,164.0
Cardiospermum halicacabum,0.0,0.0,0.0,0.0,886.0
Carica papaya,0.0,1.0,0.0,0.27023815442731974,12.0
Cartrema americana,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Castanea dentata,0.0625,0.0625,0.13886244387355456,0.10332949630181451,2.0
Castanea mollissima,0.09090909090909091,0.18181818181818182,0.06625422345438904,0.11549772041619354,9.0
Castilleja attenuata,0.0,1.0,0.0,0.227670248696953,20.0
Castilleja densiflora,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.7039180890341347,1.0
Castilleja rhexiifolia,0.8,1.0,0.7198329954996533,0.8114870234279862,1.0
Ceanothus americanus,0.04929577464788732,0.09859154929577464,0.6352557412688554,0.6597816361049815,2.0
Ceanothus verrucosus,0.3333333333333333,0.6666666666666666,0.23463936301137822,0.3547550188094295,3.0
Cenchrus setaceus,0.0,0.0,0.0,0.0,1211.0
Centaurea cyanus,0.09836065573770492,0.18032786885245902,0.7084409501232901,0.63549451980894,1.0
Centromadia pungens,0.38461538461538464,0.5384615384615384,0.6086182388744241,0.6124007696911782,1.0
Cerastium fontanum,0.2857142857142857,0.42857142857142855,0.4483039899025303,0.5142227612999092,1.0
Cerastium velutinum,0.0,0.0,0.0,0.0,102.0
Ceratiola ericoides,0.0,0.0,0.0,0.0,26.0
Cercis occidentalis,0.23076923076923078,0.3076923076923077,0.4323181322709948,0.41073983617955345,1.0
Cercocarpus montanus,0.0,0.0,0.0,0.0,287.0
Chaenactis glabriuscula,0.14285714285714285,0.2619047619047619,0.7151857987862358,0.6397855540027976,1.0
Chamaenerion angustifolium,0.10416666666666667,0.19791666666666666,1.0,0.9659370277440175,1.0
Chimaphila maculata,1.0,1.0,0.5109559939712153,0.5109559939712153,3.0
Chimaphila umbellata,0.4444444444444444,0.8888888888888888,0.44539712996118713,0.6781911859309576,2.0
Chiococca alba,0.0,0.0,0.0,0.0,75.0
Chorispora tenella,0.6666666666666666,0.6666666666666666,0.5307212739772434,0.5307212739772434,2.0
Chorizanthe rigida,1.0,1.0,0.3333333333333333,0.3333333333333333,7.0
Chromolaena odorata,0.10975609756097561,0.2073170731707317,0.9363792118010483,0.8878347599257034,1.0
Chrysobalanus icaco,0.1,0.15,0.3052348839397012,0.23334491569418198,1.0
Chrysolepis chrysophylla,0.5,0.5,0.38685280723454163,0.38685280723454163,2.0
Chrysothamnus viscidiflorus,0.13953488372093023,0.18604651162790697,0.6531466953037822,0.49400558852696824,1.0
Chylismia cardiophylla,0.6666666666666666,0.6666666666666666,0.4367467095119258,0.4367467095119258,3.0
Cirsium andersonii,0.2727272727272727,0.5454545454545454,0.32227224912195473,0.4599851756624437,2.0
Cirsium occidentale,0.125,0.2,0.6015720654566381,0.49415849779942744,1.0
Cirsium remotifolium,1.0,1.0,0.6338412308988606,0.6338412308988606,2.0
Cirsium undulatum,0.14285714285714285,0.30612244897959184,0.7100226348397881,0.7430642973599012,1.0
Clarkia cylindrica,0.3333333333333333,0.6666666666666666,0.46927872602275644,0.5778595991237899,1.0
Clarkia rhomboidea,0.75,0.75,0.7541985434892589,0.7541985434892589,1.0
Claytonia gypsophiloides,0.0,0.0,0.0,0.0,70.0
Claytonia perfoliata,0.047619047619047616,0.19047619047619047,0.07336392209936006,0.15771198868485947,7.0
Claytonia sibirica,0.3,0.5,0.26845503571754264,0.38426648222514487,3.0
Clematis virginiana,0.04316546762589928,0.08633093525179857,0.6652907408280684,0.6368015728736757,1.0
Cliftonia monophylla,0.0,0.0,0.0,0.0,1674.0
Clinopodium chandleri,0.0,1.0,0.0,0.23981246656813146,17.0
Cochemiea dioica,0.3333333333333333,0.6666666666666666,0.46927872602275644,0.59253456521548,1.0
Collinsia verna,0.12,0.16,0.45374257454118555,0.32516893336335245,1.0
Colocasia esculenta,1.0,1.0,0.6309297535714575,0.6309297535714575,2.0
Comarum palustre,0.0,0.25,0.0,0.09550669086270785,16.0
Commelina diffusa,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.46927872602275644,1.0
Comptonia peregrina,0.2,0.2,0.09803928583135704,0.09803928583135704,10.0
Conium maculatum,0.0625,0.125,0.4729327934832576,0.45109070164543147,1.0
Cordylanthus rigidus,0.4,0.6,0.5321408435198609,0.6530110818536496,1.0
Coreopsis leavenworthii,0.3333333333333333,0.4,0.5579780239524,0.47863467867033177,1.0
Cornus foemina,0.2,0.2,0.13120507751234178,0.13120507751234178,5.0
Corydalis aurea,0.2,0.4,0.11305340175787204,0.19784345307627604,7.0
Crataegus crus-galli,0.10526315789473684,0.21052631578947367,0.20483424751859092,0.20594159841101464,3.0
Crotalaria rotundifolia,0.0,0.5,0.0,0.1395953738647505,20.0
Croton michauxii,0.0,0.0,0.0,0.0,154.0
Cucumis melo,0.21739130434782608,0.30434782608695654,0.4671034547999447,0.3794590233019172,2.0
Cydonia oblonga,0.0,0.5,0.0,0.14434031438272124,18.0
Cylindropuntia echinocarpa,0.3333333333333333,0.8333333333333334,0.26836379988737025,0.5022665974096524,3.0
Cynoglossum officinale,0.30303030303030304,0.3939393939393939,1.0,0.7440081015605524,1.0
Delphinium treleasei,0.0,0.0,0.0,0.0,95.0
Delphinium variegatum,0.3333333333333333,0.3333333333333333,0.16716045496620227,0.16716045496620227,6.0
Desmodium canadense,0.11904761904761904,0.21428571428571427,0.5631102580041939,0.5023002751264555,1.0
Desmodium sessilifolium,0.21428571428571427,0.2857142857142857,0.38431135260440824,0.3567947417229518,1.0
Diapensia lapponica,0.125,0.125,0.12647135138382856,0.12647135138382856,3.0
Dicentra eximia,0.5,0.75,0.6719377023185356,0.7520489729526901,1.0
Dichanthelium clandestinum,0.2,0.2,0.14606834984270645,0.14606834984270645,4.0
Dichelostemma volubile,0.0,1.0,0.0,0.24465054211822604,16.0
Dieteria canescens,0.17647058823529413,0.4117647058823529,0.31252911522154636,0.3811663229553472,2.0
Diodia virginiana,0.0,0.3333333333333333,0.0,0.10858087310103355,19.0
Diospyros virginiana,0.13636363636363635,0.18181818181818182,0.30308203017988267,0.22846421675062403,2.0
Diplacus aurantiacus,0.2222222222222222,0.2222222222222222,0.1386991616393714,0.1386991616393714,9.0
Diplacus brevipes,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2960819109658652,2.0
Dipterostemon capitatus,0.13333333333333333,0.2,0.2837125544970319,0.25876898548402294,1.0
Dithyrea californica,1.0,1.0,0.5,0.5,3.0
Draba verna,0.0,0.5,0.0,0.14186890186599416,19.0
Dryas hookeriana,0.0,0.0,0.0,0.0,3153.0
Dudleya edulis,0.6666666666666666,0.6666666666666666,0.7618870795651185,0.7618870795651185,1.0
Dysphania ambrosioides,0.0,1.0,0.0,0.25,15.0
Echinocereus fendleri,1.0,1.0,0.43067655807339306,0.43067655807339306,4.0
Ehretia anacua,1.0,1.0,0.5642221110316635,0.5642221110316635,3.0
Elaeagnus angustifolia,0.09090909090909091,0.36363636363636365,0.13886244387355456,0.29352391844155235,2.0
Elephantopus tomentosus,0.2727272727272727,0.2727272727272727,0.3557772116892466,0.3351983632854279,1.0
Elymus virginicus,1.0,1.0,0.3010299956639812,0.3010299956639812,9.0
Epilobium brachycarpum,0.375,0.5,0.510383374527714,0.5751260891181798,1.0
Eremalche exilis,0.5,1.0,0.20438239758848611,0.3439777714532366,7.0
Eremogone congesta,0.5,0.75,0.4144299250118475,0.5143508315329828,2.0
Ericameria cuneata,0.2,0.6,0.11305340175787204,0.28899459385295606,7.0
Ericameria parishii,0.1,0.3,0.06362078819895173,0.17694355086857713,10.0
Ericameria resinosa,0.0,0.0,0.0,0.0,2212.0
Erigeron divergens,0.0,0.0,0.0,0.0,74.0
Erigeron speciosus,0.07272727272727272,0.16363636363636364,0.44725394111732825,0.46469991280724976,1.0
Eriocaulon compressum,0.0,0.0,0.0,0.0,216.0
Eriodictyon angustifolium,0.0,0.0,0.0,0.0,22.0
Eriogonum gracile,0.0,0.0,0.0,0.0,21.0
Eriogonum incanum,0.0,0.0,0.0,0.0,21.0
Eriogonum plumatella,0.15,0.2,0.38431135260440824,0.28088696918093786,1.0
Erodium cicutarium,0.12244897959183673,0.20408163265306123,0.6528642754944295,0.5619725608850086,1.0
Eryngium aristulatum,0.5,1.0,0.2640681225725909,0.435101206640309,4.0
Eryngium yuccifolium,0.0410958904109589,0.0867579908675799,0.9337457765456111,0.9572416874849684,1.0
Erythronium umbilicatum,0.1,0.3,0.2200917662980802,0.32112455308454085,1.0
Eubotrys racemosa,1.0,1.0,0.5706417189553201,0.5706417189553201,3.0
Eucalyptus globulus,0.6,0.8,0.3973845377035661,0.477225873084234,3.0
Euonymus atropurpureus,0.0,0.0,0.0,0.0,28.0
Eupatorium capillifolium,0.0,0.0625,0.0,0.04094334421419534,15.0
Eupatorium leptophyllum,0.0,0.0,0.0,0.0,41.0
Euphorbia cyparissias,0.06060606060606061,0.06060606060606061,0.18844415212771543,0.12161570279144568,3.0
Euphorbia oblongata,0.1111111111111111,0.1111111111111111,0.2350455494144854,0.2350455494144854,1.0
Euphorbia serpillifolia,0.0,0.0,0.0,0.0,134.0
Euploca polyphylla,0.0,0.3,0.0,0.17361844659130773,12.0
Eurybia divaricata,0.08139534883720931,0.16279069767441862,0.769526190239283,0.744643257909443,1.0
Eurybia radulina,1.0,1.0,0.3562071871080222,0.3562071871080222,6.0
Eurybia schreberi,0.0,0.0,0.0,0.0,37.0
Eustoma exaltatum,1.0,1.0,0.3562071871080222,0.3562071871080222,6.0
Fallugia paradoxa,0.10714285714285714,0.10714285714285714,0.4323181322709948,0.2790040067148865,1.0
Forestiera segregata,0.5,1.0,0.6131471927654584,0.778842958530688,1.0
Fouquieria splendens,0.38461538461538464,0.5384615384615384,0.6083169141195839,0.6067406716018795,1.0
Fragaria chiloensis,0.23076923076923078,0.23076923076923078,0.45374257454118555,0.3849591387294334,1.0
Frasera albicaulis,0.375,0.5,0.45197920403778075,0.5203339732095705,1.0
Frasera fastigiata,1.0,1.0,0.6112833214150002,0.6112833214150002,2.0
Frasera parryi,0.16666666666666666,0.16666666666666666,0.10086747116627115,0.10086747116627115,7.0
Fraxinus velutina,0.0,0.0,0.0,0.0,754.0
Fumaria capreolata,1.0,1.0,0.5,0.5,3.0
Funastrum heterophyllum,0.2777777777777778,0.3333333333333333,0.4864918354282828,0.3782501569085653,2.0
Gaillardia pinnatifida,0.3333333333333333,0.4444444444444444,0.42332408484280876,0.48684236032293465,1.0
Galanthus nivalis,0.18181818181818182,0.36363636363636365,0.3301376494471203,0.4089828629973811,1.0
Galearis spectabilis,0.09523809523809523,0.09523809523809523,0.20483424751859092,0.1321933351948605,3.0
Galium aparine,0.047619047619047616,0.09523809523809523,0.13886244387355456,0.12436745990221201,2.0
Garberia heterophylla,0.2857142857142857,0.42857142857142855,0.44092032933086756,0.44946474408577725,1.0
Gelsemium sempervirens,0.3,0.4,0.4249260138166711,0.47877158375725437,1.0
Genista monspessulana,0.6666666666666666,0.6666666666666666,0.5307212739772434,0.5307212739772434,2.0
Geobalanus oblongifolius,0.11764705882352941,0.17647058823529413,0.24890832702259466,0.21855169921022563,2.0
Geranium sanguineum,0.3333333333333333,0.3333333333333333,0.3096794135385218,0.3096794135385218,3.0
Geranium viscosissimum,0.17073170731707318,0.34146341463414637,0.5309999066793253,0.5933512220911861,4.0
Glandularia bipinnatifida,0.09090909090909091,0.22727272727272727,0.17318663334822615,0.22452487627271597,4.0
Gnaphalium palustre,1.0,1.0,0.3010299956639812,0.3010299956639812,9.0
Gutierrezia microcephala,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.46927872602275644,1.0
