plant,recall@10,recall@20,ndcg@10,ndcg@20,rank_first
Abutilon hypoleucum,0.0,0.0,0.0,0.0,219.0
Abutilon theophrasti,0.13333333333333333,0.13333333333333333,0.35895421017163476,0.27825165032414384,1.0
Acer pensylvanicum,0.0,0.0,0.0,0.0,89.0
Achyronychia cooperi,0.5,0.75,0.35914753008966527,0.45674254258769065,2.0
Acmella repens,0.3684210526315789,0.47368421052631576,0.7421246259355073,0.5725906832549693,1.0
Acmispon maritimus,0.0,0.0,0.0,0.0,30.0
Adelinia grandis,0.1875,0.25,0.39375843764607205,0.33028751346069474,1.0
Adenostoma sparsifolium,0.5,1.0,0.20438239758848611,0.36132234196641605,7.0
Aesculus californica,0.08695652173913043,0.21739130434782608,0.5231737964779629,0.5546210652194997,1.0
Ageratina adenophora,0.0,0.0,0.0,0.0,320.0
Ageratina aromatica,0.07692307692307693,0.23076923076923078,0.2200917662980802,0.28132651438765643,1.0
Agrimonia parviflora,0.0,0.0,0.0,0.0,68.0
Allium geyeri,0.0,0.0,0.0,0.0,77.0
Amaranthus palmeri,0.0,0.0,0.0,0.0,2722.0
Ambrosia ambrosioides,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Ambrosia psilostachya,0.0,0.0,0.0,0.0,28.0
Amelanchier laevis,0.0,0.0,0.0,0.0,2170.0
Amsonia tomentosa,0.5,0.75,0.298254219601818,0.38713214266984874,4.0
Angelica capitellata,0.23809523809523808,0.47619047619047616,0.5142842514302276,0.5098442885716243,1.0
Anisocarpus madioides,0.0,0.0,0.0,0.0,32.0
Anisocoma acaulis,0.0,0.0,0.0,0.0,35.0
Anthriscus sylvestris,0.05405405405405406,0.05405405405405406,0.2895229882348575,0.18684868323532902,1.0
Apios americana,0.09090909090909091,0.15151515151515152,0.38824405276699103,0.32748785231183514,1.0
Arabidopsis thaliana,1.0,1.0,0.43067655807339306,0.43067655807339306,4.0
Aralia racemosa,0.0,0.0,0.0,0.0,43.0
Arctostaphylos bakeri,1.0,1.0,0.44130740935663865,0.44130740935663865,4.0
Arctostaphylos hookeri,0.3333333333333333,0.3333333333333333,0.18154179253735267,0.18154179253735267,5.0
Arctostaphylos manzanita,0.21428571428571427,0.35714285714285715,0.23992089480238088,0.2830252678942466,3.0
Arctostaphylos nevadensis,0.5,0.5,0.3973220069685352,0.3973220069685352,2.0
Arnoglossum atriplicifolium,0.10256410256410256,0.1282051282051282,0.46945447024602927,0.34135522485072967,1.0
Arnoglossum ovatum,1.0,1.0,0.38685280723454163,0.38685280723454163,5.0
