plant,recall@10,recall@20,ndcg@10,ndcg@20,rank_first
Abutilon hypoleucum,0.0,0.0,0.0,0.0,37.0
Abutilon theophrasti,0.13333333333333333,0.2,0.35895421017163476,0.3184145810094418,1.0
Acer pensylvanicum,0.0,0.0,0.0,0.0,234.0
Achyronychia cooperi,0.0,0.0,0.0,0.0,43.0
Acmella repens,0.2631578947368421,0.42105263157894735,0.5619107241149829,0.4800749096058464,1.0
Acmispon maritimus,1.0,1.0,0.5,0.5,3.0
Adelinia grandis,0.125,0.125,0.35895421017163476,0.2671028731585959,1.0
Adenostoma sparsifolium,1.0,1.0,0.7903864795495061,0.7903864795495061,1.0
Aesculus californica,0.08695652173913043,0.17391304347826086,0.5231737964779629,0.4785339360644287,1.0
Ageratina adenophora,0.0,0.0,0.0,0.0,264.0
Ageratina aromatica,0.07692307692307693,0.23076923076923078,0.09478836436955079,0.1781887127954259,4.0
Agrimonia parviflora,0.0,0.0,0.0,0.0,75.0
Allium geyeri,0.0,0.0,0.0,0.0,46.0
Amaranthus palmeri,0.0,0.0,0.0,0.0,2018.0
Ambrosia ambrosioides,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Ambrosia psilostachya,0.0,0.0,0.0,0.0,39.0
Amelanchier laevis,0.0,0.0,0.0,0.0,1296.0
Amsonia tomentosa,0.25,0.25,0.123151194370365,0.123151194370365,8.0
Angelica capitellata,0.14285714285714285,0.2857142857142857,0.4249260138166711,0.37809012645775264,1.0
Anisocarpus madioides,0.0,1.0,0.0,0.227670248696953,20.0
Anisocoma acaulis,0.0,0.0,0.0,0.0,127.0
Anthriscus sylvestris,0.02702702702702703,0.08108108108108109,0.2200917662980802,0.21085318458850835,1.0
Apios americana,0.12121212121212122,0.15151515151515152,0.48882922182497557,0.35278116910536605,1.0
Arabidopsis thaliana,0.0,0.0,0.0,0.0,109.0
Aralia racemosa,0.0,0.0,0.0,0.0,22.0
Arctostaphylos bakeri,1.0,1.0,0.5706417189553201,0.5706417189553201,3.0
Arctostaphylos hookeri,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.23463936301137822,3.0
Arctostaphylos manzanita,0.14285714285714285,0.2857142857142857,0.24890832702259466,0.2898947357257458,2.0
Arctostaphylos nevadensis,0.25,0.5,0.16812753627111746,0.27362312050622783,4.0
Arnoglossum atriplicifolium,0.07692307692307693,0.10256410256410256,0.27358726976933645,0.20890258201175138,3.0
Arnoglossum ovatum,1.0,1.0,0.3010299956639812,0.3010299956639812,9.0
Arnoglossum plantagineum,0.0,0.0,0.0,0.0,44.0
Asclepias californica,0.5,0.6666666666666666,0.354550794363385,0.43020139773808835,3.0
Asclepias incarnata,0.0311284046692607,0.06614785992217899,0.8630152897016883,0.8792562495869053,1.0
Asclepias linaria,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2960819109658652,2.0
Asclepias speciosa,0.10843373493975904,0.20481927710843373,0.9305687780632229,0.8833692268482319,1.0
Asclepias tomentosa,0.6666666666666666,0.6666666666666666,0.39106560501896365,0.39106560501896365,3.0
Asclepias viridis,0.3888888888888889,0.4444444444444444,0.7909506325094736,0.5840453865681314,1.0
Asimina obovata,0.0,0.0,0.0,0.0,97.0
Asimina reticulata,0.0,0.0,0.0,0.0,39.0
Asparagus officinalis,0.14705882352941177,0.17647058823529413,0.5739723394665965,0.40772975717735194,1.0
Astragalus alpinus,0.25,0.5,0.18873103118020407,0.3136917450513609,4.0
Astragalus cicer,0.6666666666666666,0.6666666666666666,0.7271677337333977,0.7271677337333977,1.0
Astragalus crotalariae,0.0,0.0,0.0,0.0,495.0
Astragalus douglasii,0.0,0.0,0.0,0.0,22.0
Astragalus flexuosus,0.6666666666666666,0.6666666666666666,0.6508205185601091,0.6508205185601091,1.0
Astragalus whitneyi,0.5,0.5,0.5078961547485289,0.5078961547485289,1.0
Atriplex canescens,0.25,0.3333333333333333,0.40350157154648036,0.40802862440787574,1.0
Aureolaria pectinata,0.0,0.0,0.0,0.0,91.0
Baccharis sergiloides,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.46927872602275644,1.0
Balsamorhiza hookeri,0.4,0.8,0.36005461457723403,0.5276091670665749,2.0
Baptisia aberrans,0.0,0.0,0.0,0.0,361.0
Baptisia sphaerocarpa,0.4,0.7,0.4034826666009929,0.5686854318946564,2.0
Barbarea orthoceras,0.09090909090909091,0.13636363636363635,0.2122263659729146,0.17040145846594268,2.0
Bebbia juncea,0.05263157894736842,0.17543859649122806,0.3557772116892466,0.479453745720733,1.0
Berberis aquifolium,0.15555555555555556,0.28888888888888886,0.7573821447149967,0.7038478565750983,1.0
Berberis trifoliolata,0.14285714285714285,0.2857142857142857,0.08274602130532002,0.14745436014687952,9.0
Berlandiera lyrata,0.15384615384615385,0.3076923076923077,0.17947710508581738,0.23943205064952325,3.0
Bidens aristosa,0.18604651162790697,0.23255813953488372,0.8454256604216018,0.6137977808698667,1.0
Bidens polylepis,0.17647058823529413,0.23529411764705882,0.2902597849695646,0.24370136512639515,2.0
Boerhavia wrightii,0.0,0.0,0.0,0.0,57.0
Boltonia diffusa,0.0,0.0,0.0,0.0,94.0
Borodinia laevigata,0.0,0.0,0.0,0.0,49.0
Bouteloua curtipendula,0.0,0.0,0.0,0.0,914.0
Bouteloua dactyloides,0.0,0.0,0.0,0.0,69.0
Bouteloua hirsuta,0.0,1.0,0.0,0.23540891336663824,18.0
Brasenia schreberi,0.0,0.0,0.0,0.0,1260.0
Brassica tournefortii,0.07142857142857142,0.07142857142857142,0.2200917662980802,0.1782102981946514,1.0
Brickellia desertorum,0.0,0.0,0.0,0.0,35.0
Bromus inermis,0.25,0.75,0.123151194370365,0.3239438988072518,8.0
Buchnera americana,0.0,0.0,0.0,0.0,155.0
Bursera microphylla,0.0,1.0,0.0,0.2559580248098155,14.0
Callicarpa americana,0.0625,0.125,0.2200917662980802,0.20166696815704327,1.0
Callirhoe leiocarpa,0.0,0.3333333333333333,0.0,0.12681701683239352,12.0
Calochortus elegans,0.0,0.0,0.0,0.0,84.0
Calochortus eurycarpus,0.5,0.5,0.18457569677956817,0.18457569677956817,9.0
Calochortus invenustus,0.5,0.5,0.29127873064148246,0.29127873064148246,4.0
Calochortus palmeri,0.3333333333333333,0.3333333333333333,0.1480409554829326,0.1480409554829326,8.0
Calochortus subalpinus,1.0,1.0,0.3010299956639812,0.3010299956639812,9.0
Calochortus superbus,0.0,0.0,0.0,0.0,33.0
Calochortus uniflorus,0.0,0.0,0.0,0.0,80.0
Calystegia purpurata,0.2857142857142857,0.2857142857142857,0.38121301394452073,0.38121301394452073,1.0
Camassia scilloides,0.1875,0.21875,0.693761356516045,0.4817938993747151,1.0
Camissoniopsis bistorta,0.1111111111111111,0.3333333333333333,0.08372491399919348,0.1978181187321433,6.0
Cardamine diphylla,0.14285714285714285,0.2857142857142857,0.17342765698823945,0.24214674021681215,2.0
Cardamine nuttallii,0.0,0.0,0.0,0.0,222.0
Cardiospermum halicacabum,0.0,0.0,0.0,0.0,507.0
Carica papaya,0.0,0.0,0.0,0.0,71.0
Cartrema americana,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Castanea dentata,0.0625,0.0625,0.09478836436955079,0.07053335424873529,4.0
Castanea mollissima,0.09090909090909091,0.09090909090909091,0.06362078819895173,0.05994083762128167,10.0
Castilleja attenuata,0.0,0.0,0.0,0.0,143.0
Castilleja densiflora,0.6666666666666666,0.6666666666666666,0.49818925746641285,0.49818925746641285,2.0
Castilleja rhexiifolia,0.4,1.0,0.5087403079104241,0.7792377010712492,1.0
