a,b,delta_r10,lo,hi,p_two_sided
degree_rank,rank_n,-0.024774001349577232,-0.040867478300424996,-0.008779442596729218,0.002
degree_rank,rank_n_tax_ldelta,-0.1288951625435616,-0.15234875029337278,-0.10526605180855905,0.0001
degree_rank,gbm_geo_tuned,-0.1657914248618202,-0.19033864772588052,-0.14146217265122452,0.0001
degree_rank,twotower_none,-0.14575517277029448,-0.17053287042728926,-0.12159048058365893,0.0001
degree_rank,twotower_bioclip,-0.18159088227755749,-0.20670228524683965,-0.15606583518579456,0.0001
degree_rank,twotower_bioclip2,-0.17162130388416047,-0.19647217376298123,-0.14675947565825506,0.0001
rank_n,rank_n_tax_ldelta,-0.10412116119398437,-0.1284369545678012,-0.07985158862240288,0.0001
rank_n,twotower_none,-0.12098117142071724,-0.1474005712449471,-0.09486318281822399,0.0001
rank_n,twotower_bioclip,-0.15681688092798027,-0.1829402927276694,-0.1304429788912035,0.0001
rank_n,twotower_bioclip2,-0.14684730253458325,-0.17194653734520704,-0.12134359066161386,0.0001
rank_n_tax_ldelta,twotower_none,-0.016860010226732863,-0.04017565700054546,0.0059250157867223735,0.1436
rank_n_tax_ldelta,twotower_bioclip,-0.052695719733995894,-0.07399929773590083,-0.03172214701684638,0.0001
rank_n_tax_ldelta,twotower_bioclip2,-0.04272614134059888,-0.0642808312463212,-0.02207908157019868,0.0001
gbm_geo_tuned,rank_n,0.14101742351224295,0.11618385788950189,0.1659128361573104,0.0001
gbm_geo_tuned,rank_n_tax_ldelta,0.03689626231825857,0.013506770028008527,0.06084828892401428,0.0016
gbm_geo_tuned,twotower_none,0.020036252091525708,0.0021096189530517046,0.03837157448541303,0.0298
gbm_geo_tuned,twotower_bioclip,-0.015799457415737322,-0.035016710605579315,0.0040448097427348674,0.1132
gbm_geo_tuned,twotower_bioclip2,-0.005829879022340306,-0.02647961222437145,0.0151920771500787,0.577
twotower_bioclip,twotower_none,0.03583570950726303,0.01575059360880329,0.056199365766094675,0.001
twotower_bioclip,twotower_bioclip2,0.009969578393397016,-0.008745396060014333,0.028602162159023486,0.2908
twotower_bioclip2,twotower_none,0.025866131113866014,0.003988571883566702,0.04799978426572052,0.0186
