metric,k,model,value
recall,1,N only,0.01406265576944907
recall,5,N only,0.06503307449262635
recall,10,N only,0.11710165121343227
recall,20,N only,0.2027676246463291
recall,50,N only,0.3437801794595691
recall,100,N only,0.46872986761913016
recall,1,N+tax+localD,0.048030227988855693
recall,5,N+tax+localD,0.1459641236877898
recall,10,N+tax+localD,0.2085048749609974
recall,20,N+tax+localD,0.29382853144289267
recall,50,N+tax+localD,0.43124260823509636
recall,100,N+tax+localD,0.542937297807822
recall,1,GBM geo,0.05271310222220231
recall,5,GBM geo,0.1618195887966377
recall,10,GBM geo,0.24540113727925597
recall,20,GBM geo,0.33701981970596706
recall,50,GBM geo,0.491355366435613
recall,100,GBM geo,0.6265988125957032
recall,1,degree null,0.006855327614939971
recall,5,degree null,0.058683570841199136
recall,10,degree null,0.0796097124174358
recall,20,degree null,0.1406589512156796
recall,50,degree null,0.23306792688875574
recall,100,degree null,0.28458200444984005
nrecall,1,N only,0.12477396021699819
nrecall,5,N only,0.1544906570223026
nrecall,10,N only,0.18160753752977984
nrecall,20,N only,0.2396968251775831
nrecall,50,N only,0.35453366907080236
nrecall,100,N only,0.47215681010507715
nrecall,1,N+tax+localD,0.3471971066907776
nrecall,5,N+tax+localD,0.2947257383966245
nrecall,10,N+tax+localD,0.30148396911507214
nrecall,20,N+tax+localD,0.34541441369809295
nrecall,50,N+tax+localD,0.446940969863933
nrecall,100,N+tax+localD,0.5488431294492621
nrecall,1,GBM geo,0.3960216998191682
nrecall,5,GBM geo,0.33746232670283305
nrecall,10,GBM geo,0.3504951347627659
nrecall,20,GBM geo,0.3920039767295659
nrecall,50,GBM geo,0.5091955096826223
nrecall,100,GBM geo,0.6329519179882367
nrecall,1,degree null,0.13562386980108498
nrecall,5,degree null,0.15780590717299578
nrecall,10,degree null,0.13433508424466833
nrecall,20,degree null,0.17334987313691988
nrecall,50,degree null,0.24321391811648435
nrecall,100,degree null,0.2880241567254673
ndcg,1,N only,0.12477396021699819
ndcg,5,N only,0.1430446744637912
ndcg,10,N only,0.15332037202359397
ndcg,20,N only,0.17134074333560487
ndcg,50,N only,0.20242277571849945
ndcg,100,N only,0.2359748229957709
ndcg,1,N+tax+localD,0.3471971066907776
ndcg,5,N+tax+localD,0.2966203538792356
ndcg,10,N+tax+localD,0.28690175139836216
ndcg,20,N+tax+localD,0.29283652380761294
ndcg,50,N+tax+localD,0.31732387056080485
ndcg,100,N+tax+localD,0.3478819856939908
ndcg,1,GBM geo,0.3960216998191682
ndcg,5,GBM geo,0.34036833402851435
ndcg,10,GBM geo,0.3278241526621553
ndcg,20,GBM geo,0.3290545483481723
ndcg,50,GBM geo,0.36093858267968126
ndcg,100,GBM geo,0.39812732384569616
ndcg,1,degree null,0.13562386980108498
ndcg,5,degree null,0.16350445444144954
ndcg,10,degree null,0.1393493820767479
ndcg,20,degree null,0.14560665078940546
ndcg,50,degree null,0.16009272705207397
ndcg,100,degree null,0.17301963370412624
map,1,N only,0.12477396021699819
map,5,N only,0.09250452079566004
map,10,N only,0.08477014504817397
map,20,N only,0.08120969484015851
map,50,N only,0.08034176808076783
map,100,N only,0.08460126402261103
map,1,N+tax+localD,0.3471971066907776
map,5,N+tax+localD,0.2251918826602371
map,10,N+tax+localD,0.1927537118591325
map,20,N+tax+localD,0.17872086784674665
map,50,N+tax+localD,0.1716938980407535
map,100,N+tax+localD,0.17584856448017067
map,1,GBM geo,0.3960216998191682
map,5,GBM geo,0.2623081173397629
map,10,GBM geo,0.22385245485241181
map,20,GBM geo,0.20328693370148992
map,50,GBM geo,0.2001038787544347
map,100,GBM geo,0.20676217476136421
map,1,degree null,0.13562386980108498
map,5,degree null,0.11105635925256178
map,10,degree null,0.07847706593185796
map,20,degree null,0.06827211780287877
map,50,degree null,0.06224387109118502
map,100,degree null,0.0621433326577176
