plant,pollinator
Abrus precatorius,Bombus impatiens
Abrus precatorius,Bombus pensylvanicus
Abrus precatorius,Lasioglossum tegulare
Abrus precatorius,Megachile exilis
Abrus precatorius,Megachile petulans
Abutilon theophrasti,Archilochus colubris
Abutilon theophrasti,Bombus pensylvanicus
Abutilon theophrasti,Lasioglossum versatum
Abutilon theophrasti,Megachile brevis
Abutilon theophrasti,Megachile latimanus
Abutilon theophrasti,Melissodes agilis
Abutilon theophrasti,Melissodes bimaculatus
Abutilon theophrasti,Melissodes boltoniae
Abutilon theophrasti,Melissodes communis
Abutilon theophrasti,Melissodes comptoides
Abutilon theophrasti,Melissodes druriellus
Abutilon theophrasti,Melissodes niveus
Abutilon theophrasti,Melissodes tepaneca
Abutilon theophrasti,Pholisora catullus
Abutilon theophrasti,Pieris rapae
Abutilon theophrasti,Svastra obliqua
Abutilon theophrasti,Toxomerus marginatus
Acacia baileyana,Apis mellifera
Acacia dealbata,Bombus
Acacia verticillata,Habropoda depressa
Acaciella angustissima,Exomalopsis mellipes
Acaciella angustissima,Melissoptila otomita
Acalypha persimilis,Abaeis nicippe
Acer platanoides,Chalcosyrphus nemorum
Acer platanoides,Coccinella septempunctata
Acer platanoides,Dasysyrphus venustus
Acer platanoides,Epistrophe nitidicollis
Acer platanoides,Episyrphus balteatus
Acer platanoides,Eristalis tenax
Acer platanoides,Meligramma triangulifera
Acer platanoides,Myathropa florea
Acer platanoides,Syritta pipiens
Acer platanoides,Syrphus ribesii
Acer platanoides,Syrphus torvus
Acer platanoides,Syrphus vitripennis
Acer platanoides,Xylota segnis
Acer pseudoplatanus,Andrena barbilabris
Acer pseudoplatanus,Andrena wilkella
Acer pseudoplatanus,Apis mellifera
Acer pseudoplatanus,Bombus
Acer pseudoplatanus,Bombus lapidarius
Acer pseudoplatanus,Chalcosyrphus nemorum
Acer pseudoplatanus,Dasysyrphus venustus
Acer pseudoplatanus,Epistrophe nitidicollis
Acer pseudoplatanus,Episyrphus balteatus
Acer pseudoplatanus,Eristalis arbustorum
Acer pseudoplatanus,Eristalis tenax
Acer pseudoplatanus,Meligramma triangulifera
Acer pseudoplatanus,Meliscaeva cinctella
Acer pseudoplatanus,Myathropa florea
Acer pseudoplatanus,Sarcophaga subvicina
Acer pseudoplatanus,Syritta pipiens
Acer pseudoplatanus,Syrphus ribesii
Acer pseudoplatanus,Syrphus vitripennis
Acer pseudoplatanus,Xylota segnis
Acer saccharum,Lasioglossum ephialtum
Achillea millefolium,Aglais io
Achillea millefolium,Aglais milberti
