model,r10,lo,hi,r10_tier1,r10_head
N only,0.1687563373315293,0.14821411376168644,0.19055935459444676,0.12225648637328607,0.17788289284247294
N + tax,0.2568645650035774,0.2298473753583677,0.2825457795783411,0.3131594245015902,0.2688368523248177
N + tax + GBIF local,0.2535269440037494,0.22785759051303905,0.27769687223807915,0.2817913009164444,0.2658185329727564
N + tax + SDM delta,0.24291863267162306,0.21700467118197214,0.26826831109229404,0.3057862566051933,0.25308092608276544
N + tax + SDM bilateral,0.2485574614182741,0.22367208351409257,0.27287529380980924,0.2880019413827722,0.25886456920694456
N + tax + GBIF local + SDM bilat,0.25474811265066666,0.22820986586075612,0.2792763268141467,0.2891237925046233,0.26585614393677903
N + GBIF delta,0.10708011597428892,0.09069389231463694,0.12448454316565007,0.13206417869661996,0.1139178213116996
N + GBIF local delta,0.09752810402572855,0.08091570647538937,0.11517574651042717,0.0996144746127608,0.10294339636562186
N + SDM delta,0.07206799747422532,0.06025019062261932,0.08731371985994828,0.05896372367770131,0.07384698135460975
N + SDM bilateral local delta,0.09201874433293987,0.07736534715940449,0.10803592539114328,0.04403622851476612,0.09689870932443612
N + GBIF local + SDM bilateral,0.09624348386541821,0.07902364866254959,0.11278151040383641,0.05388144846724583,0.10377645053029477
