training,model,eval,n_plants,recall@10,lo,hi
train_all,rank_full,all,553,0.0802966840934348,0.06804663562800195,0.0934815551429556
train_all,rank_full_local,all,553,0.0792776527521401,0.06675891326508951,0.09214098992836547
train_all,rank_n,all,553,0.11710165121343227,0.10053471814711744,0.13378253092502546
train_all,rank_scalar_local,all,553,0.07905469501450142,0.06660821321110345,0.09162226515137013
train_t1,rank_full,all,553,0.06273917854455809,0.05265246924900397,0.07422257657576888
train_t1,rank_full_local,all,553,0.06516786294832436,0.05489771920394062,0.07707498351384434
train_t1,rank_n,all,553,0.11710165121343227,0.10053471814711744,0.13378253092502546
train_t1,rank_scalar_local,all,553,0.06515142510514356,0.054925777496915615,0.07710376875293282
train_all,rank_full,t1,222,0.01087856995345302,0.006347702024223586,0.0153788720244302
train_all,rank_full_local,t1,222,0.013095722170605237,0.007686073659473236,0.01922146403033207
train_all,rank_n,t1,222,0.11618596098794341,0.08404828359112557,0.15293886286750827
train_all,rank_scalar_local,t1,222,0.0129592220341051,0.007633326096429766,0.018930678150369036
train_t1,rank_full,t1,222,0.07542995984750539,0.05355635352859817,0.0996085273219449
train_t1,rank_full_local,t1,222,0.07915153856908413,0.05652494455833225,0.1036582173942085
train_t1,rank_n,t1,222,0.11618596098794341,0.08404828359112557,0.15293886286750827
train_t1,rank_scalar_local,t1,222,0.07915153856908413,0.05652494455833225,0.1036582173942085
