scheme,rep,n_test_plants,n_test_pos,pr_auc,roc_auc,mean_recall@10,mean_hit@10,mean_recall@50,runtime_s
holdout15,0,553,9393,0.6355370345451588,0.9022416505360986,0.0751535644346374,0.45027124773960214,0.24322807337296384,7.6
holdout15,1,553,9477,0.640575098838302,0.9046257897292957,0.07288016567923938,0.43037974683544306,0.23700225993508478,6.8
holdout15,2,553,9758,0.6198780827717212,0.8954313168385946,0.07613015223603817,0.4412296564195298,0.24399785652874467,6.7
holdout15,3,553,8752,0.6359084785561657,0.896669141464453,0.06578205619952014,0.4231464737793852,0.24282089458475226,6.7
holdout15,4,553,9328,0.640805866278684,0.9080308996558436,0.07284724558575699,0.45750452079566006,0.2612731222677714,6.7
holdout15,5,553,8810,0.6198045616177171,0.895584478606887,0.06744607750371345,0.41952983725135623,0.24464826492629344,6.7
3fold,0,1231,20571,0.6427876895578888,0.9024041106833524,0.07836229911770322,0.4394800974817222,0.2536903872371597,8.7
3fold,1,1229,20720,0.6296922683558581,0.8985208769295703,0.0814831598407249,0.44426362896663957,0.23998995186361902,8.7
3fold,2,1229,21541,0.631589700417855,0.9006336391110867,0.07790970632454791,0.45565500406834825,0.2474975510374956,9.1
5fold,0,739,11676,0.6361324340046502,0.9028100313758683,0.08941747220588522,0.44925575101488496,0.24710780213415848,8.3
5fold,1,738,13211,0.6306141380222661,0.8962335415821052,0.07410247275253937,0.43089430894308944,0.24631713117797024,7.5
5fold,2,738,12371,0.6401215307900112,0.9000077001918713,0.08105725481687137,0.45121951219512196,0.24797312665182164,7.6
5fold,3,737,12461,0.6276528147626191,0.8977718933437465,0.06809431315743969,0.42740841248303935,0.24121110245166652,8.1
5fold,4,737,13113,0.6510893347759343,0.9069221725899929,0.08455836360815146,0.47218453188602444,0.2561033911192482,7.6
