lat_bin,lon_bin,centroid_lat,centroid_lon,used_in_analysis
37.5,-122.5,37.75,-122.25,1
38.5,-77.5,38.75,-77.25,1
37.0,-122.5,37.25,-122.25,1
42.0,-71.5,42.25,-71.25,1
47.5,-122.5,47.75,-122.25,1
34.0,-118.5,34.25,-118.25,1
32.5,-117.5,32.75,-117.25,1
39.0,-77.0,39.25,-76.75,1
40.5,-74.0,40.75,-73.75,1
37.0,-122.0,37.25,-121.75,1
33.5,-118.0,33.75,-117.75,1
41.5,-88.0,41.75,-87.75,1
39.0,-77.5,39.25,-77.25,1
38.0,-123.0,38.25,-122.75,1
36.5,-122.0,36.75,-121.75,1
35.5,-79.0,35.75,-78.75,1
33.0,-117.5,33.25,-117.25,1
45.5,-123.0,45.75,-122.75,1
37.5,-123.0,37.75,-122.75,1
44.0,-73.0,44.25,-72.75,1
24.0,-125.0,24.25,-124.75,0
24.0,-124.5,24.25,-124.25,0
24.0,-124.0,24.25,-123.75,0
24.0,-123.5,24.25,-123.25,0
24.0,-123.0,24.25,-122.75,0
24.0,-122.5,24.25,-122.25,0
24.0,-122.0,24.25,-121.75,0
24.0,-121.5,24.25,-121.25,0
24.0,-121.0,24.25,-120.75,0
24.0,-120.5,24.25,-120.25,0
24.0,-120.0,24.25,-119.75,0
24.0,-119.5,24.25,-119.25,0
24.0,-119.0,24.25,-118.75,0
24.0,-118.5,24.25,-118.25,0
24.0,-118.0,24.25,-117.75,0
24.0,-117.5,24.25,-117.25,0
24.0,-117.0,24.25,-116.75,0
24.0,-116.5,24.25,-116.25,0
24.0,-116.0,24.25,-115.75,0
24.0,-115.5,24.25,-115.25,0
24.0,-115.0,24.25,-114.75,0
24.0,-114.5,24.25,-114.25,0
24.0,-114.0,24.25,-113.75,0
24.0,-113.5,24.25,-113.25,0
24.0,-113.0,24.25,-112.75,0
24.0,-112.5,24.25,-112.25,0
24.0,-112.0,24.25,-111.75,0
24.0,-111.5,24.25,-111.25,0
24.0,-111.0,24.25,-110.75,0
24.0,-110.5,24.25,-110.25,0
24.0,-110.0,24.25,-109.75,0
24.0,-109.5,24.25,-109.25,0
24.0,-109.0,24.25,-108.75,0
24.0,-108.5,24.25,-108.25,0
