network,n_plants,n_polls,n_pairs,lat,lon,has_coords,year_min,year_max,dataset
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Abbotsford F2, Onnink Farm (2014 and later)",10,15,78,49.0769416666667,-123.387908333333,True,2016.0,2016.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Aldergrove Regional Park (restored), Abbotsford",11,21,198,49.0093027777778,-122.451683333333,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Aldergrove Regional Park, Abbotsford",13,25,63,49.0090416666667,-122.451677777778,True,2015.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Anderson Hill Park, Oak Bay",10,43,218,48.4126833333333,-123.306669444444,True,2014.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Beacon Hill Park, Victoria",13,32,247,48.409715,-123.362835,True,2014.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Bear Hill Regional Park, Victoria CRD",21,38,387,48.545605,-123.406769,True,2014.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Bellfountain Road, Finley National Wildlife Res.",15,38,260,44.404507,-123.34627,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Bluebird Strip, Finley National Wildlife Reserve",13,40,335,44.419072,-123.33003,True,2017.0,2017.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Boundary Bay Regional Park (restored), Tsawwassen",10,15,86,49.0173666666667,-123.054569444444,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Brentwood Bay (Gardens), Central Saanich",68,50,393,48.5772222222222,-123.463055555556,True,2012.0,2012.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Cadboro Bay (Gardens), Saanich",48,42,352,48.4633333333333,-123.293333333333,True,2012.0,2012.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Campbell Valley Regional Park (restored), Langley",10,17,103,49.0172055555556,-122.664141666667,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Cedar Hill Park, Saanich",11,42,463,48.458103,-123.347128,True,2014.0,2015.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Centennial Beach (control), Tsawwassen",13,25,116,49.0163972222222,-123.041605555556,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Centennial Beach (restored), Tsawwassen",22,41,206,49.0151944444444,-123.040761111111,True,2013.0,2013.0,
"? | Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions w | Christmas Hill (Gardens), Saanich",60,53,254,48.4736111111111,-123.3725,True,2012.0,2012.0,
