arm,pr_auc,pr_auc_seeds,roc_auc,pr_at_0.25,pr_at_0.5,lo,hi,p
full,0.1592008624882706,0.1547;0.1583;0.1647,0.9536484174646107,0.8988769271114766,0.9566577436472398,,,
-surface,0.14452122707115192,0.1434;0.1449;0.1452,0.95215389833397,0.890218034168358,0.953546991688142,,,
-pca,0.1521182481172663,0.1494;0.1586;0.1483,0.9510524432906936,0.8928829243192644,0.9539973170057047,,,
-text,0.09178729195997785,0.0879;0.0941;0.0934,0.9183332392376139,0.8257233742746352,0.9221397816347378,,,
text + scale,0.12877435592982525,0.1294;0.1294;0.1275,0.9416293989398129,0.8722183735403887,0.9445775311280101,,,
surface + scale,0.08399611602963734,0.0844;0.0814;0.0862,0.9094109739949627,0.8104688007678463,0.9141630541743448,,,
-surface - full,-0.01437536730859264,,,,,-0.02235680754505537,-0.00651847131086728,0.0
-pca - full,-0.007118978031997257,,,,,-0.014684019764367727,-0.0003632811761897075,0.036
-text - full,-0.06761231589447401,,,,,-0.09693618200579665,-0.0433696436474313,0.0
text + scale - full,-0.029880980618891165,,,,,-0.041190775536188225,-0.018381939119307144,0.0
surface + scale - full,-0.07530812243567167,,,,,-0.1040599925062526,-0.05049881338083922,0.0
