arm,nrecall10,seen,unseen,n_seeds,lo,hi,p,p_unseen
reference,0.2819866408101702,0.3039906773211568,0.11932388989351013,3.0,,,,
field replaces,0.2727004477004477,0.2907473091976517,0.1392907373920032,3.0,,,,
field added,0.282039710471083,0.3017922827426252,0.13602069519791038,3.0,,,,
"field, no impute",0.28359808310788703,0.3031308889613684,0.13920367021632843,3.0,,,,
no-text surface,0.2195799117367745,0.22955307313184026,0.14585426294287054,3.0,,,,
no-text field,0.1991219564748976,0.2068556570268899,0.14195130935637265,3.0,,,,
field replaces - reference,-0.00928619310972252,,0.01996684749849307,,-0.02181963597404774,0.0033102151116856967,0.1454,0.2288
field added - reference,5.306966091279854e-05,,0.016696805304400243,,-0.011890856057522723,0.012182489805038822,0.9936,0.2596
"field, no impute - reference",0.0016114422977168076,,0.0198797803228183,,-0.009579288268013755,0.012340212438251653,0.7706,0.1332
no-text surface - reference,-0.06240672907339575,,0.02653037304936039,,-0.08099272686282491,-0.043323168298658496,0.0,0.2926
no-text field - no-text surface,-0.020457955261876826,,-0.003902953586497889,,-0.030750182551653137,-0.010268081591611005,0.0,0.8072
