arm,model,cold_plant,cold_poll,local,local_pL
R3 (taxon+cell),M3.7_rgcn_sym,0.16990986442984146,0.10088908539116853,0.2152256677066228,0.23364769255996146
final retriever (no taxon),A2_rgcn_sym_notaxon,0.1735695256721058,0.12895340746888906,0.21840427146041894,0.24080949009560218
no cell nodes,A1_rgcn_sym_nocell,0.1649957304256835,0.09663711330176855,0.21176184558364267,0.24038253067619425
month-collapsed,A3_rgcn_sym_monthcollapsed,0.1674057184557974,0.0988439836347313,0.20956933255681245,0.23311298096500488
+ memory vector (R1),M3.11_rgcn_sym_warmres,0.1738881051807469,0.1040314676054802,0.19229962926888047,0.21542821220732458
+ co-presence stat (R4),M3.10_rgcn_sym_pair_joint,0.18049094962750992,0.1267565697084539,0.2033374650050346,0.22974523273832742
+ learned co-presence (R6c),M3.14_rgcn_sym_bilinear,0.18220580640975848,0.12691218209063165,0.20592915971556205,0.2287725653582172
+ presence embed concat (R6b),M3.13_rgcn_sym_presconcat,0.16478324339931605,0.14267526366398406,0.20020701569508573,0.2265058661662649
+ presence embed add (R6),M3.12s_rgcn_sym_pressurf,0.15494347523711147,0.12625382223640066,0.2014722262121486,0.2278024813383102
co-occurrence negatives (R7),M3.15_rgcn_sym_coocneg,0.1518371031762128,0.1004544144911434,0.20428303202603532,0.22590298712200832
attention aggregation,M3.6_rgcn_attention,0.15540199910856894,,0.19594170567988728,0.22086829891870913
plant-only rehearsal (v1),M3.1_rgcn,0.14957905675909164,0.006206615020728601,0.20397825737657063,0.2307798437206017
"+ degree encoding (R5, on v1)",M3.9_rgcn_degree_enc,0.1658078065193618,0.0038505279688324065,0.19650981500421968,0.22484105477876212
"+ co-presence stat (R4, on v1)",M3.8_rgcn_pair_joint,0.17243816127537412,0.0072922512094712654,0.19512565171379725,0.21932583873319658
"+ memory (R1, on v1)",M3.3_rgcn_warmres,0.17010353482491603,,0.1790552356148494,0.19087726261359772
