arm,nrecall10,seen,unseen,n_seeds,lo,hi,p,p_unseen
reference,0.2819866408101702,0.3039906773211568,0.11932388989351013,3.0,,,,
joint uniform,0.2794590485766956,0.3004439370877727,0.12433025249480947,3.0,,,,
joint uniform + surface,0.2736570981669021,0.29475882438211204,0.11766459044940059,3.0,,,,
no-text joint uniform,0.20476409937194248,0.20707309560049283,0.18769506396088673,3.0,,,,
joint tg_spatiotemporal,0.27154109507050683,0.29057834130608107,0.13081005960752795,3.0,,,,
joint tg_spatiotemporal + surface,0.28532763532763533,0.30651613575414943,0.12869365749112582,3.0,,,,
no-text joint tg_spatiotemporal,0.20746965452847801,0.2126386170906719,0.16925858951175404,3.0,,,,
no-text surface,0.2195799117367745,0.22955307313184026,0.14585426294287054,3.0,,,,
joint uniform - reference,-0.002527592233474586,,0.005006362601299314,,-0.015257642230681451,0.010385996991389142,0.7036,0.7602
joint uniform + surface - reference,-0.008329542643268134,,-0.0016592994441095728,,-0.02045192008427303,0.0038671023965141603,0.1756,0.9016
joint tg_spatiotemporal - reference,-0.010445545739663387,,0.011486169714017815,,-0.023328689738003464,0.001982156822843095,0.1032,0.4886
joint tg_spatiotemporal + surface - reference,0.003340994517465106,,0.009369767597615698,,-0.008619545396506181,0.015272351105684432,0.5804,0.4814
no-text joint uniform - no-text surface,-0.01481581236483197,,0.04184080101801621,,-0.03447903449128939,0.005114818006974867,0.1362,0.2122
no-text joint tg_spatiotemporal - no-text surface,-0.012110257208296418,,0.023404326568883537,,-0.03234293076204841,0.008241409099252242,0.2476,0.555
